PeakID (cmd=annotatePeaks.pl Fox_neg_R2.mLb.clN_peaks.narrowPeak GCF_932526225.1_jaNemVect1.1_genomic.fna -gid -gtf Nvec_v4_merged_annotation_sort.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Fox_neg_R2.mLb.clN_peak_11943	NC_064044.1	779506	780297	+	337	NA	promoter-TSS (Nvec_vc1.1_LOC5511445)	-promoter-TSS (Nvec_vc1.1_LOC5511445)	-135	Nvec_vc1.1_LOC5511445	Nvec_vc1.1_LOC5511445	Nvec_vc1.1_XM_032380781			LOC5511445			NA
Fox_neg_R2.mLb.clN_peak_5918	NC_064038.1	7526231	7527156	+	337	NA	promoter-TSS (Nvec_vc1.1_LOC5502066)	-promoter-TSS (Nvec_vc1.1_LOC5502066)	-228	Nvec_vc1.1_LOC5502066	Nvec_vc1.1_LOC5502066	Nvec_vc1.1_XM_001623230			LOC5502066			NA
Fox_neg_R2.mLb.clN_peak_9295	NC_064041.1	7598685	7599724	+	337	NA	exon (Nvec_vc1.1_LOC5515202, exon 1 of 16)	-exon (Nvec_vc1.1_LOC5515202, exon 1 of 16)	102	Nvec_vc1.1_LOC5515202	Nvec_vc1.1_LOC5515202	Nvec_vc1.1_XM_032384867			LOC5515202			NA
Fox_neg_R2.mLb.clN_peak_14057	NC_064046.1	6116934	6117636	+	337	NA	promoter-TSS (Nvec_vc1.1_LOC5518011)	-promoter-TSS (Nvec_vc1.1_LOC5518011)	-84	Nvec_vc1.1_LOC5518011	Nvec_vc1.1_LOC5518011	Nvec_vc1.1_XM_048721046			LOC5518011			NA
Fox_neg_R2.mLb.clN_peak_663	NC_064034.1	10588595	10589113	+	337	NA	promoter-TSS (Nvec_vc1.1_LOC5507520)	-promoter-TSS (Nvec_vc1.1_LOC5507520)	-4	Nvec_vc1.1_LOC5507519	Nvec_vc1.1_LOC5507519	Nvec_vc1.1_XM_032376175			LOC5507519			NA
Fox_neg_R2.mLb.clN_peak_2377	NC_064035.1	15302848	15303635	+	337	NA	exon (Nvec_vc1.1_LOC5521857, exon 1 of 11)	-exon (Nvec_vc1.1_LOC5521857, exon 1 of 11)	342	Nvec_vc1.1_LOC5521857	Nvec_vc1.1_LOC5521857	Nvec_vc1.1_XM_032367029			LOC5521857			NA
Fox_neg_R2.mLb.clN_peak_3833	NC_064036.1	14636071	14636873	+	337	NA	intron (Nvec_vc1.1_LOC5522307, intron 1 of 2)	-intron (Nvec_vc1.1_LOC5522307, intron 1 of 2)	294	Nvec_vc1.1_LOC5522307	Nvec_vc1.1_LOC5522307	Nvec_vc1.1_XM_032367589			LOC5522307			NA
Fox_neg_R2.mLb.clN_peak_13441	NC_064045.1	11572740	11573775	+	337	NA	intron (Nvec_vc1.1_LOC5520565, intron 1 of 6)	-intron (Nvec_vc1.1_LOC5520565, intron 1 of 6)	1906	Nvec_vc1.1_LOC5520565	Nvec_vc1.1_LOC5520565	Nvec_vc1.1_XM_032365539			LOC5520565			NA
Fox_neg_R2.mLb.clN_peak_13392	NC_064045.1	10732444	10732939	+	336	NA	promoter-TSS (Nvec_vc1.1_LOC5506101)	-promoter-TSS (Nvec_vc1.1_LOC5506101)	-2	Nvec_vc1.1_LOC116613971	Nvec_vc1.1_LOC116613971	Nvec_vc1.1_XM_032374496			LOC116613971			NA
Fox_neg_R2.mLb.clN_peak_1201	NC_064034.1	19749126	19750412	+	336	NA	intron (Nvec_v1g245614, intron 1 of 2)	-intron (Nvec_v1g245614, intron 1 of 2)	420	Nvec_v1g245614	Nvec_v1g245614	Nvec_v1g245614						NA
Fox_neg_R2.mLb.clN_peak_12501	NC_064044.1	11327038	11328122	+	336	NA	promoter-TSS (Nvec_vc1.1_LOC5504397)	-promoter-TSS (Nvec_vc1.1_LOC5504397)	-285	Nvec_vc1.1_LOC5504409	Nvec_vc1.1_LOC5504409	Nvec_vc1.1_XM_048734494			LOC5504409			NA
Fox_neg_R2.mLb.clN_peak_10692	NC_064042.1	13995282	13995999	+	336	NA	promoter-TSS (Nvec_vc1.1_LOC5506661)	-promoter-TSS (Nvec_vc1.1_LOC5506661)	199	Nvec_vc1.1_LOC5506660	Nvec_vc1.1_LOC5506660	Nvec_vc1.1_XM_001627308			LOC5506660			NA
Fox_neg_R2.mLb.clN_peak_3507	NC_064036.1	10102409	10102982	+	336	NA	exon (Nvec_vc1.1_LOC5513280, exon 1 of 4)	-exon (Nvec_vc1.1_LOC5513280, exon 1 of 4)	268	Nvec_vc1.1_LOC5513280	Nvec_vc1.1_LOC5513280	Nvec_vc1.1_XM_001633470			LOC5513280			NA
Fox_neg_R2.mLb.clN_peak_6658	NC_064039.1	1479000	1479398	+	336	NA	TTS (Nvec_vc1.1_LOC5505599)	-TTS (Nvec_vc1.1_LOC5505599)	133	Nvec_vc1.1_LOC5505595	Nvec_vc1.1_LOC5505595	Nvec_vc1.1_XM_001626301			LOC5505595			NA
Fox_neg_R2.mLb.clN_peak_12017	NC_064044.1	3191340	3191991	+	336	NA	promoter-TSS (Nvec_vc1.1_LOC5509881)	-promoter-TSS (Nvec_vc1.1_LOC5509881)	-82	Nvec_vc1.1_LOC5509881	Nvec_vc1.1_LOC5509881	Nvec_vc1.1_XM_048734530			LOC5509881			NA
Fox_neg_R2.mLb.clN_peak_2873	NC_064036.1	917653	919461	+	336	NA	promoter-TSS (Nvec_vc1.1_LOC5517076)	-promoter-TSS (Nvec_vc1.1_LOC5517076)	-619	Nvec_vc1.1_LOC5517076	Nvec_vc1.1_LOC5517076	Nvec_vc1.1_XM_001637001			LOC5517076			NA
Fox_neg_R2.mLb.clN_peak_10040	NC_064042.1	3280574	3281000	+	336	NA	exon (Nvec_vc1.1_LOC5517244, exon 1 of 1)	-exon (Nvec_vc1.1_LOC5517244, exon 1 of 1)	323	Nvec_vc1.1_LOC5517244	Nvec_vc1.1_LOC5517244	Nvec_vc1.1_XM_001637211			LOC5517244			NA
Fox_neg_R2.mLb.clN_peak_1347	NC_064034.1	21772417	21773146	+	336	NA	exon (Nvec_vc1.1_LOC5518266, exon 1 of 3)	-exon (Nvec_vc1.1_LOC5518266, exon 1 of 3)	284	Nvec_vc1.1_LOC5518266	Nvec_vc1.1_LOC5518266	Nvec_vc1.1_XM_032362952			LOC5518266			NA
Fox_neg_R2.mLb.clN_peak_1478	NC_064035.1	2206480	2207520	+	336	NA	TTS (Nvec_vc1.1_LOC5515489)	-TTS (Nvec_vc1.1_LOC5515489)	339	Nvec_vc1.1_LOC5515499	Nvec_vc1.1_LOC5515499	Nvec_vc1.1_XM_032385316			LOC5515499			NA
Fox_neg_R2.mLb.clN_peak_11856	NC_064043.1	15056578	15056973	+	336	NA	intron (Nvec_vc1.1_LOC5508699, intron 1 of 12)	-intron (Nvec_vc1.1_LOC5508699, intron 1 of 12)	1327	Nvec_vc1.1_LOC5508699	Nvec_vc1.1_LOC5508699	Nvec_vc1.1_XM_048733597			LOC5508699			NA
Fox_neg_R2.mLb.clN_peak_2547	NC_064035.1	17694620	17695419	+	335	NA	exon (Nvec_vc1.1_LOC116615708, exon 3 of 3)	-exon (Nvec_vc1.1_LOC116615708, exon 3 of 3)	-3872	Nvec_vc1.1_LOC5508792	Nvec_vc1.1_LOC5508792	Nvec_vc1.1_XM_032377587			LOC5508792			NA
Fox_neg_R2.mLb.clN_peak_7111	NC_064039.1	8016559	8017390	+	335	NA	promoter-TSS (Nvec_vc1.1_LOC5502164)	-promoter-TSS (Nvec_vc1.1_LOC5502164)	-28	Nvec_vc1.1_LOC5502164	Nvec_vc1.1_LOC5502164	Nvec_vc1.1_XM_001623328			LOC5502164			NA
Fox_neg_R2.mLb.clN_peak_7454	NC_064039.1	13040139	13040851	+	335	NA	promoter-TSS (Nvec_vc1.1_LOC5521063)	-promoter-TSS (Nvec_vc1.1_LOC5521063)	-116	Nvec_vc1.1_LOC5521063	Nvec_vc1.1_LOC5521063	Nvec_vc1.1_XM_032366009			LOC5521063			NA
Fox_neg_R2.mLb.clN_peak_11394	NC_064043.1	8802546	8803374	+	335	NA	promoter-TSS (Nvec_vc1.1_LOC5513577)	-promoter-TSS (Nvec_vc1.1_LOC5513577)	-165	Nvec_vc1.1_LOC5513577	Nvec_vc1.1_LOC5513577	Nvec_vc1.1_XM_032383072			LOC5513577			NA
Fox_neg_R2.mLb.clN_peak_4079	NC_064036.1	18239839	18240527	+	335	NA	Intergenic	Intergenic	-1997	Nvec_vc1.1_LOC5509364	Nvec_vc1.1_LOC5509364	Nvec_vc1.1_XM_001629854			LOC5509364			NA
Fox_neg_R2.mLb.clN_peak_13687	NC_064046.1	278168	278895	+	335	NA	promoter-TSS (Nvec_vc1.1_LOC5508574)	-promoter-TSS (Nvec_vc1.1_LOC5508574)	70	Nvec_vc1.1_LOC5508574	Nvec_vc1.1_LOC5508574	Nvec_vc1.1_XM_001629070			LOC5508574			NA
Fox_neg_R2.mLb.clN_peak_4663	NC_064037.1	7144667	7145062	+	335	NA	promoter-TSS (Nvec_vc1.1_LOC5519687)	-promoter-TSS (Nvec_vc1.1_LOC5519687)	53	Nvec_vc1.1_LOC5519602	Nvec_vc1.1_LOC5519602	Nvec_vc1.1_XM_032364497			LOC5519602			NA
Fox_neg_R2.mLb.clN_peak_15368	NC_064048.1	800394	800990	+	334	NA	Intergenic	Intergenic	16287	Nvec_vc1.1_LOC5513491	Nvec_vc1.1_LOC5513491	Nvec_vc1.1_XM_032383025			LOC5513491			NA
Fox_neg_R2.mLb.clN_peak_2098	NC_064035.1	11059246	11059748	+	334	NA	promoter-TSS (Nvec_v1g238326)	-promoter-TSS (Nvec_v1g238326)	-20	Nvec_vc1.1_LOC125556761	Nvec_vc1.1_LOC125556761	Nvec_vc1.1_XM_048723866			LOC125556761			NA
Fox_neg_R2.mLb.clN_peak_12143	NC_064044.1	4932109	4932502	+	334	NA	promoter-TSS (Nvec_vc1.1_LOC5505938)	-promoter-TSS (Nvec_vc1.1_LOC5505938)	61	Nvec_vc1.1_LOC5505938	Nvec_vc1.1_LOC5505938	Nvec_vc1.1_XM_001626637			LOC5505938			NA
Fox_neg_R2.mLb.clN_peak_154	NC_064034.1	2873247	2873859	+	334	NA	promoter-TSS (Nvec_vc1.1_LOC5509805)	-promoter-TSS (Nvec_vc1.1_LOC5509805)	-48	Nvec_vc1.1_LOC5509805	Nvec_vc1.1_LOC5509805	Nvec_vc1.1_XM_032378836			LOC5509805			NA
Fox_neg_R2.mLb.clN_peak_12840	NC_064045.1	473601	473909	+	334	NA	Intergenic	Intergenic	41864	Nvec_vc1.1_LOC125557471	Nvec_vc1.1_LOC125557471	Nvec_vc1.1_XM_048720115			LOC125557471			NA
Fox_neg_R2.mLb.clN_peak_8609	NC_064040.1	14245537	14246245	+	334	NA	promoter-TSS (Nvec_vc1.1_LOC5507889)	-promoter-TSS (Nvec_vc1.1_LOC5507889)	-384	Nvec_vc1.1_LOC5507889	Nvec_vc1.1_LOC5507889	Nvec_vc1.1_XM_001628437			LOC5507889			NA
Fox_neg_R2.mLb.clN_peak_10063	NC_064042.1	3642575	3643068	+	334	NA	promoter-TSS (Nvec_vc1.1_LOC5517261)	-promoter-TSS (Nvec_vc1.1_LOC5517261)	88	Nvec_vc1.1_LOC116621546	Nvec_vc1.1_LOC116621546	Nvec_vc1.1_XM_048732746			LOC116621546			NA
Fox_neg_R2.mLb.clN_peak_5775	NC_064038.1	5413601	5413921	+	334	NA	promoter-TSS (Nvec_vc1.1_LOC5508950)	-promoter-TSS (Nvec_vc1.1_LOC5508950)	-145	Nvec_vc1.1_LOC5508950	Nvec_vc1.1_LOC5508950	Nvec_vc1.1_XM_048727635			LOC5508950			NA
Fox_neg_R2.mLb.clN_peak_15974	NC_064048.1	11374775	11375010	+	334	NA	Intergenic	Intergenic	-279641	Nvec_vc1.1_LOC5499198	Nvec_vc1.1_LOC5499198	Nvec_vc1.1_XM_048722525			LOC5499198			NA
Fox_neg_R2.mLb.clN_peak_4334	NC_064037.1	2373120	2373473	+	334	NA	promoter-TSS (Nvec_vc1.1_LOC5511565)	-promoter-TSS (Nvec_vc1.1_LOC5511565)	29	Nvec_vc1.1_LOC5511565	Nvec_vc1.1_LOC5511565	Nvec_vc1.1_XM_001631897			LOC5511565			NA
Fox_neg_R2.mLb.clN_peak_15189	NC_064047.1	11575813	11576342	+	334	NA	promoter-TSS (Nvec_vc1.1_LOC5500507)	-promoter-TSS (Nvec_vc1.1_LOC5500507)	15	Nvec_vc1.1_LOC5500507	Nvec_vc1.1_LOC5500507	Nvec_vc1.1_XM_001621892			LOC5500507			NA
Fox_neg_R2.mLb.clN_peak_5222	NC_064037.1	15290936	15291368	+	334	NA	promoter-TSS (Nvec_vc1.1_LOC5520436)	-promoter-TSS (Nvec_vc1.1_LOC5520436)	59	Nvec_vc1.1_LOC5520436	Nvec_vc1.1_LOC5520436	Nvec_vc1.1_XM_048726790			LOC5520436			NA
Fox_neg_R2.mLb.clN_peak_4552	NC_064037.1	5501791	5502565	+	334	NA	promoter-TSS (Nvec_vc1.1_LOC5502465)	-promoter-TSS (Nvec_vc1.1_LOC5502465)	-120	Nvec_vc1.1_LOC5502465	Nvec_vc1.1_LOC5502465	Nvec_vc1.1_XM_048726137			LOC5502465			NA
Fox_neg_R2.mLb.clN_peak_7777	NC_064040.1	1724092	1724387	+	334	NA	promoter-TSS (Nvec_vc1.1_LOC5511979)	-promoter-TSS (Nvec_vc1.1_LOC5511979)	-124	Nvec_vc1.1_LOC5511946	Nvec_vc1.1_LOC5511946	Nvec_vc1.1_XM_001632299			LOC5511946			NA
Fox_neg_R2.mLb.clN_peak_5520	NC_064037.1	18929295	18929590	+	334	NA	Intergenic	Intergenic	-4847	Nvec_vc1.1_LOC116617924	Nvec_vc1.1_LOC116617924	Nvec_vc1.1_XM_048726655			LOC116617924			NA
Fox_neg_R2.mLb.clN_peak_8434	NC_064040.1	11607865	11608516	+	333	NA	promoter-TSS (Nvec_vc1.1_LOC5504966)	-promoter-TSS (Nvec_vc1.1_LOC5504966)	117	Nvec_vc1.1_LOC5504973	Nvec_vc1.1_LOC5504973	Nvec_vc1.1_XM_048730050			LOC5504973			NA
Fox_neg_R2.mLb.clN_peak_12635	NC_064044.1	12983727	12984359	+	333	NA	intron (Nvec_vc1.1_LOC5511796, intron 1 of 17)	-intron (Nvec_vc1.1_LOC5511796, intron 1 of 17)	260	Nvec_vc1.1_LOC5511796	Nvec_vc1.1_LOC5511796	Nvec_vc1.1_XM_032381154			LOC5511796			NA
Fox_neg_R2.mLb.clN_peak_6389	NC_064038.1	15546131	15547068	+	333	NA	promoter-TSS (Nvec_vc1.1_LOC5510391)	-promoter-TSS (Nvec_vc1.1_LOC5510391)	-400	Nvec_vc1.1_LOC5510391	Nvec_vc1.1_LOC5510391	Nvec_vc1.1_XM_048727822			LOC5510391			NA
Fox_neg_R2.mLb.clN_peak_8381	NC_064040.1	10794104	10794829	+	333	NA	promoter-TSS (Nvec_vc1.1_LOC5518874)	-promoter-TSS (Nvec_vc1.1_LOC5518874)	40	Nvec_vc1.1_LOC5518874	Nvec_vc1.1_LOC5518874	Nvec_vc1.1_XM_032363739			LOC5518874			NA
Fox_neg_R2.mLb.clN_peak_11170	NC_064043.1	5580942	5581546	+	333	NA	promoter-TSS (Nvec_vc1.1_LOC5522113)	-promoter-TSS (Nvec_vc1.1_LOC5522113)	-27	Nvec_vc1.1_LOC5521994	Nvec_vc1.1_LOC5521994	Nvec_vc1.1_XM_032367232			LOC5521994			NA
Fox_neg_R2.mLb.clN_peak_12572	NC_064044.1	12277286	12278084	+	333	NA	promoter-TSS (Nvec_vc1.1_LOC5514747)	-promoter-TSS (Nvec_vc1.1_LOC5514747)	-1	Nvec_vc1.1_LOC5514746	Nvec_vc1.1_LOC5514746	Nvec_vc1.1_XM_001634870			LOC5514746			NA
Fox_neg_R2.mLb.clN_peak_1017	NC_064034.1	17021153	17021690	+	333	NA	promoter-TSS (Nvec_vc1.1_LOC5507589)	-promoter-TSS (Nvec_vc1.1_LOC5507589)	-115	Nvec_vc1.1_LOC5507589	Nvec_vc1.1_LOC5507589	Nvec_vc1.1_XM_001628177			LOC5507589			NA
Fox_neg_R2.mLb.clN_peak_11442	NC_064043.1	9469415	9469766	+	333	NA	intron (Nvec_vc1.1_LOC116610148, intron 1 of 3)	-intron (Nvec_vc1.1_LOC116610148, intron 1 of 3)	-1914	Nvec_vc1.1_LOC5502578	Nvec_vc1.1_LOC5502578	Nvec_vc1.1_XM_032370859			LOC5502578			NA
Fox_neg_R2.mLb.clN_peak_6881	NC_064039.1	4612655	4613342	+	333	NA	promoter-TSS (Nvec_vc1.1_LOC5521363)	-promoter-TSS (Nvec_vc1.1_LOC5521363)	187	Nvec_vc1.1_LOC5521383	Nvec_vc1.1_LOC5521383	Nvec_vc1.1_XM_001641116			LOC5521383			NA
Fox_neg_R2.mLb.clN_peak_8954	NC_064041.1	2600511	2601149	+	333	NA	promoter-TSS (Nvec_NVE12369)	-promoter-TSS (Nvec_NVE12369)	-218	Nvec_NVE12369	Nvec_NVE12369	Nvec_NVE12369						NA
Fox_neg_R2.mLb.clN_peak_8059	NC_064040.1	6347944	6348336	+	333	NA	intron (Nvec_vc1.1_LOC5520834, intron 5 of 7)	-intron (Nvec_vc1.1_LOC5520834, intron 5 of 7)	-5100	Nvec_vc1.1_LOC5520720	Nvec_vc1.1_LOC5520720	Nvec_vc1.1_XM_001640601			LOC5520720			NA
Fox_neg_R2.mLb.clN_peak_2184	NC_064035.1	12439860	12440915	+	333	NA	promoter-TSS (Nvec_vc1.1_LOC5514098)	-promoter-TSS (Nvec_vc1.1_LOC5514098)	-109	Nvec_vc1.1_LOC5514098	Nvec_vc1.1_LOC5514098	Nvec_vc1.1_XM_032383637			LOC5514098			NA
Fox_neg_R2.mLb.clN_peak_1786	NC_064035.1	6253319	6254064	+	333	NA	promoter-TSS (Nvec_vc1.1_LOC5517940)	-promoter-TSS (Nvec_vc1.1_LOC5517940)	70	Nvec_vc1.1_LOC5517940	Nvec_vc1.1_LOC5517940	Nvec_vc1.1_XM_001637882			LOC5517940			NA
Fox_neg_R2.mLb.clN_peak_8026	NC_064040.1	5886316	5886855	+	332	NA	promoter-TSS (Nvec_vc1.1_LOC5520705)	-promoter-TSS (Nvec_vc1.1_LOC5520705)	105	Nvec_vc1.1_LOC5520687	Nvec_vc1.1_LOC5520687	Nvec_vc1.1_XM_001640576			LOC5520687			NA
Fox_neg_R2.mLb.clN_peak_7854	NC_064040.1	3328585	3329325	+	332	NA	promoter-TSS (Nvec_vc1.1_LOC5514899)	-promoter-TSS (Nvec_vc1.1_LOC5514899)	43	Nvec_vc1.1_LOC5514899	Nvec_vc1.1_LOC5514899	Nvec_vc1.1_XM_001635053			LOC5514899			NA
Fox_neg_R2.mLb.clN_peak_4071	NC_064036.1	18173424	18173901	+	332	NA	exon (Nvec_vc1.1_LOC5509385, exon 1 of 20)	-exon (Nvec_vc1.1_LOC5509385, exon 1 of 20)	146	Nvec_vc1.1_LOC5509385	Nvec_vc1.1_LOC5509385	Nvec_vc1.1_XM_032378306			LOC5509385			NA
Fox_neg_R2.mLb.clN_peak_3277	NC_064036.1	6619377	6619778	+	332	NA	promoter-TSS (Nvec_vc1.1_LOC5506497)	-promoter-TSS (Nvec_vc1.1_LOC5506497)	44	Nvec_vc1.1_LOC5506497	Nvec_vc1.1_LOC5506497	Nvec_vc1.1_XM_001627158			LOC5506497			NA
Fox_neg_R2.mLb.clN_peak_7742	NC_064040.1	1257883	1258752	+	332	NA	intron (Nvec_vc1.1_LOC5511921, intron 1 of 21)	-intron (Nvec_vc1.1_LOC5511921, intron 1 of 21)	300	Nvec_vc1.1_LOC5511921	Nvec_vc1.1_LOC5511921	Nvec_vc1.1_XM_048730629			LOC5511921			NA
Fox_neg_R2.mLb.clN_peak_12985	NC_064045.1	3908483	3908972	+	331	NA	promoter-TSS (Nvec_vc1.1_LOC116620875)	-promoter-TSS (Nvec_vc1.1_LOC116620875)	140	Nvec_vc1.1_LOC5516938	Nvec_vc1.1_LOC5516938	Nvec_vc1.1_XM_032386908			LOC5516938			NA
Fox_neg_R2.mLb.clN_peak_7832	NC_064040.1	2953679	2954555	+	331	NA	promoter-TSS (Nvec_NVE5597)	-promoter-TSS (Nvec_NVE5597)	-6	Nvec_NVE5597	Nvec_NVE5597	Nvec_NVE5597						NA
Fox_neg_R2.mLb.clN_peak_11474	NC_064043.1	9942478	9942886	+	331	NA	Intergenic	Intergenic	-2998	Nvec_v1g87452	Nvec_v1g87452	Nvec_v1g87452						NA
Fox_neg_R2.mLb.clN_peak_13900	NC_064046.1	3332278	3333093	+	331	NA	intron (Nvec_vc1.1_LOC125558949, intron 2 of 2)	-intron (Nvec_vc1.1_LOC125558949, intron 2 of 2)	-1083	Nvec_vc1.1_LOC5513423	Nvec_vc1.1_LOC5513423	Nvec_vc1.1_XM_032382958			LOC5513423			NA
Fox_neg_R2.mLb.clN_peak_12395	NC_064044.1	9246609	9247317	+	331	NA	promoter-TSS (Nvec_vc1.1_LOC5503225)	-promoter-TSS (Nvec_vc1.1_LOC5503225)	-28	Nvec_vc1.1_LOC5503239	Nvec_vc1.1_LOC5503239	Nvec_vc1.1_XM_001624290			LOC5503239			NA
Fox_neg_R2.mLb.clN_peak_273	NC_064034.1	4484194	4484887	+	331	NA	promoter-TSS (Nvec_vc1.1_LOC116621203)	-promoter-TSS (Nvec_vc1.1_LOC116621203)	47	Nvec_vc1.1_LOC116621203	Nvec_vc1.1_LOC116621203	Nvec_vc1.1_XM_032387258			LOC116621203			NA
Fox_neg_R2.mLb.clN_peak_3323	NC_064036.1	7296492	7297122	+	331	NA	promoter-TSS (Nvec_v1g242538)	-promoter-TSS (Nvec_v1g242538)	-298	Nvec_v1g242538	Nvec_v1g242538	Nvec_v1g242538						NA
Fox_neg_R2.mLb.clN_peak_15047	NC_064047.1	9167879	9168428	+	331	NA	promoter-TSS (Nvec_vc1.1_LOC5509918)	-promoter-TSS (Nvec_vc1.1_LOC5509918)	-41	Nvec_vc1.1_LOC5509919	Nvec_vc1.1_LOC5509919	Nvec_vc1.1_XM_032378921			LOC5509919			NA
Fox_neg_R2.mLb.clN_peak_14122	NC_064046.1	7336853	7337371	+	331	NA	promoter-TSS (Nvec_vc1.1_LOC5510849)	-promoter-TSS (Nvec_vc1.1_LOC5510849)	-27	Nvec_vc1.1_LOC5510849	Nvec_vc1.1_LOC5510849	Nvec_vc1.1_XM_001631231			LOC5510849			NA
Fox_neg_R2.mLb.clN_peak_3703	NC_064036.1	13002406	13003077	+	331	NA	promoter-TSS (Nvec_vc1.1_LOC5518636)	-promoter-TSS (Nvec_vc1.1_LOC5518636)	68	Nvec_vc1.1_LOC5518636	Nvec_vc1.1_LOC5518636	Nvec_vc1.1_XM_001638595			LOC5518636			NA
Fox_neg_R2.mLb.clN_peak_12687	NC_064044.1	13659447	13660359	+	331	NA	promoter-TSS (Nvec_NVE12528)	-promoter-TSS (Nvec_NVE12528)	-202	Nvec_NVE12528	Nvec_NVE12528	Nvec_NVE12528						NA
Fox_neg_R2.mLb.clN_peak_14850	NC_064047.1	5564887	5565975	+	330	NA	exon (Nvec_vc1.1_LOC5513901, exon 2 of 2)	-exon (Nvec_vc1.1_LOC5513901, exon 2 of 2)	7298	Nvec_vc1.1_LOC5513901	Nvec_vc1.1_LOC5513901	Nvec_vc1.1_XM_048721953			LOC5513901			NA
Fox_neg_R2.mLb.clN_peak_8721	NC_064040.1	16116546	16117043	+	330	NA	promoter-TSS (Nvec_vc1.1_LOC5501001)	-promoter-TSS (Nvec_vc1.1_LOC5501001)	16	Nvec_vc1.1_LOC5501001	Nvec_vc1.1_LOC5501001	Nvec_vc1.1_XM_001622319			LOC5501001			NA
Fox_neg_R2.mLb.clN_peak_15002	NC_064047.1	8204406	8205108	+	330	NA	promoter-TSS (Nvec_vc1.1_LOC5507455)	-promoter-TSS (Nvec_vc1.1_LOC5507455)	-115	Nvec_vc1.1_LOC5507456	Nvec_vc1.1_LOC5507456	Nvec_vc1.1_XM_032376105			LOC5507456			NA
Fox_neg_R2.mLb.clN_peak_15585	NC_064048.1	4442821	4443448	+	330	NA	promoter-TSS (Nvec_vc1.1_LOC5515660)	-promoter-TSS (Nvec_vc1.1_LOC5515660)	-80	Nvec_vc1.1_LOC5515660	Nvec_vc1.1_LOC5515660	Nvec_vc1.1_XM_048722387			LOC5515660			NA
Fox_neg_R2.mLb.clN_peak_11463	NC_064043.1	9717825	9719012	+	330	NA	promoter-TSS (Nvec_vc1.1_LOC5500617)	-promoter-TSS (Nvec_vc1.1_LOC5500617)	-344	Nvec_vc1.1_LOC5500617	Nvec_vc1.1_LOC5500617	Nvec_vc1.1_XM_048733340			LOC5500617			NA
Fox_neg_R2.mLb.clN_peak_6654	NC_064039.1	1405712	1406204	+	330	NA	promoter-TSS (Nvec_vc1.1_LOC5503367)	-promoter-TSS (Nvec_vc1.1_LOC5503367)	64	Nvec_vc1.1_LOC5503367	Nvec_vc1.1_LOC5503367	Nvec_vc1.1_XM_001624388			LOC5503367			NA
Fox_neg_R2.mLb.clN_peak_3393	NC_064036.1	8348619	8349132	+	330	NA	promoter-TSS (Nvec_vc1.1_LOC116618122)	-promoter-TSS (Nvec_vc1.1_LOC116618122)	-125	Nvec_vc1.1_LOC116618122	Nvec_vc1.1_LOC116618122	Nvec_vc1.1_XM_048725118			LOC116618122			NA
Fox_neg_R2.mLb.clN_peak_2212	NC_064035.1	12803840	12804883	+	329	NA	promoter-TSS (Nvec_vc1.1_LOC5521642)	-promoter-TSS (Nvec_vc1.1_LOC5521642)	0	Nvec_vc1.1_LOC5521642	Nvec_vc1.1_LOC5521642	Nvec_vc1.1_XM_032366972			LOC5521642			NA
Fox_neg_R2.mLb.clN_peak_535	NC_064034.1	8735592	8736303	+	329	NA	promoter-TSS (Nvec_vc1.1_LOC5520378)	-promoter-TSS (Nvec_vc1.1_LOC5520378)	-103	Nvec_vc1.1_LOC5520378	Nvec_vc1.1_LOC5520378	Nvec_vc1.1_XM_032365374			LOC5520378			NA
Fox_neg_R2.mLb.clN_peak_14305	NC_064046.1	10802590	10803637	+	329	NA	promoter-TSS (Nvec_vc1.1_LOC5500686)	-promoter-TSS (Nvec_vc1.1_LOC5500686)	-95	Nvec_vc1.1_LOC5500142	Nvec_vc1.1_LOC5500142	Nvec_vc1.1_XM_048721071			LOC5500142			NA
Fox_neg_R2.mLb.clN_peak_10691	NC_064042.1	13972191	13972509	+	329	NA	promoter-TSS (Nvec_vc1.1_LOC5503343)	-promoter-TSS (Nvec_vc1.1_LOC5503343)	74	Nvec_vc1.1_LOC5503343	Nvec_vc1.1_LOC5503343	Nvec_vc1.1_XM_032371675			LOC5503343			NA
Fox_neg_R2.mLb.clN_peak_14023	NC_064046.1	5202470	5203210	+	329	NA	promoter-TSS (Nvec_vc1.1_LOC5518086)	-promoter-TSS (Nvec_vc1.1_LOC5518086)	63	Nvec_vc1.1_LOC5518086	Nvec_vc1.1_LOC5518086	Nvec_vc1.1_XM_032362543			LOC5518086			NA
Fox_neg_R2.mLb.clN_peak_2014	NC_064035.1	9639929	9640569	+	329	NA	exon (Nvec_vc1.1_LOC5521329, exon 1 of 2)	-exon (Nvec_vc1.1_LOC5521329, exon 1 of 2)	249	Nvec_vc1.1_LOC5521329	Nvec_vc1.1_LOC5521329	Nvec_vc1.1_XM_001641086			LOC5521329			NA
