PeakID (cmd=annotatePeaks.pl Elav_pos_R3.mLb.clN_peaks.narrowPeak GCF_932526225.1_jaNemVect1.1_genomic.fna -gid -gtf Nvec_v4_merged_annotation_sort.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Elav_pos_R3.mLb.clN_peak_8684	NC_064040.1	7946724	7948487	+	1615	NA	promoter-TSS (Nvec_NVE11975)	-promoter-TSS (Nvec_NVE11975)	-616	Nvec_NVE11975	Nvec_NVE11975	Nvec_NVE11975						NA
Elav_pos_R3.mLb.clN_peak_13644	NC_064045.1	5142403	5143758	+	1614	NA	promoter-TSS (Nvec_vc1.1_LOC5504679)	-promoter-TSS (Nvec_vc1.1_LOC5504679)	-248	Nvec_vc1.1_LOC5504672	Nvec_vc1.1_LOC5504672	Nvec_vc1.1_XM_001625518			LOC5504672			NA
Elav_pos_R3.mLb.clN_peak_7372	NC_064039.1	6160377	6161452	+	1613	NA	promoter-TSS (Nvec_vc1.1_LOC5521574)	-promoter-TSS (Nvec_vc1.1_LOC5521574)	-19	Nvec_vc1.1_LOC5521574	Nvec_vc1.1_LOC5521574	Nvec_vc1.1_XM_001641181			LOC5521574			NA
Elav_pos_R3.mLb.clN_peak_3656	NC_064036.1	8156630	8157376	+	1612	NA	promoter-TSS (Nvec_vc1.1_LOC5511221)	-promoter-TSS (Nvec_vc1.1_LOC5511221)	83	Nvec_vc1.1_LOC5511225	Nvec_vc1.1_LOC5511225	Nvec_vc1.1_XM_032380541			LOC5511225			NA
Elav_pos_R3.mLb.clN_peak_5147	NC_064037.1	8235073	8235676	+	1612	NA	Intergenic	Intergenic	-1053	Nvec_vc1.1_LOC5519754	Nvec_vc1.1_LOC5519754	Nvec_vc1.1_XM_032364448			LOC5519754			NA
Elav_pos_R3.mLb.clN_peak_1039	NC_064034.1	15285978	15287401	+	1611	NA	promoter-TSS (Nvec_vc1.1_LOC5506312)	-promoter-TSS (Nvec_vc1.1_LOC5506312)	63	Nvec_vc1.1_LOC5506312	Nvec_vc1.1_LOC5506312	Nvec_vc1.1_XM_001626995			LOC5506312			NA
Elav_pos_R3.mLb.clN_peak_2749	NC_064035.1	17612512	17613074	+	1610	NA	TTS (Nvec_vc1.1_LOC116615718)	-TTS (Nvec_vc1.1_LOC116615718)	170	Nvec_vc1.1_LOC5508796	Nvec_vc1.1_LOC5508796	Nvec_vc1.1_XM_001629310			LOC5508796			NA
Elav_pos_R3.mLb.clN_peak_4378	NC_064036.1	17820200	17821468	+	1609	NA	promoter-TSS (Nvec_vc1.1_LOC5506548)	-promoter-TSS (Nvec_vc1.1_LOC5506548)	71	Nvec_vc1.1_LOC5506548	Nvec_vc1.1_LOC5506548	Nvec_vc1.1_XM_032374963			LOC5506548			NA
Elav_pos_R3.mLb.clN_peak_10584	NC_064042.1	5138988	5139888	+	1608	NA	promoter-TSS (Nvec_vc1.1_LOC5510996)	-promoter-TSS (Nvec_vc1.1_LOC5510996)	-92	Nvec_vc1.1_LOC5510996	Nvec_vc1.1_LOC5510996	Nvec_vc1.1_XM_001631385			LOC5510996			NA
Elav_pos_R3.mLb.clN_peak_12745	NC_064044.1	4931809	4932644	+	1608	NA	exon (Nvec_vc1.1_LOC5505938, exon 1 of 6)	-exon (Nvec_vc1.1_LOC5505938, exon 1 of 6)	140	Nvec_vc1.1_LOC5505938	Nvec_vc1.1_LOC5505938	Nvec_vc1.1_XM_001626637			LOC5505938			NA
Elav_pos_R3.mLb.clN_peak_16931	NC_064048.1	12575184	12575640	+	1608	NA	intron (Nvec_vc1.1_LOC5501334, intron 1 of 12)	-intron (Nvec_vc1.1_LOC5501334, intron 1 of 12)	159	Nvec_vc1.1_LOC5501334	Nvec_vc1.1_LOC5501334	Nvec_vc1.1_XM_048722514			LOC5501334			NA
Elav_pos_R3.mLb.clN_peak_1054	NC_064034.1	15457547	15458323	+	1607	NA	promoter-TSS (Nvec_vc1.1_LOC116614093)	-promoter-TSS (Nvec_vc1.1_LOC116614093)	-58	Nvec_vc1.1_LOC116614093	Nvec_vc1.1_LOC116614093	Nvec_vc1.1_XM_032374693			LOC116614093			NA
Elav_pos_R3.mLb.clN_peak_9423	NC_064041.1	2306198	2307477	+	1606	NA	promoter-TSS (Nvec_vc1.1_LOC5516735)	-promoter-TSS (Nvec_vc1.1_LOC5516735)	-181	Nvec_vc1.1_LOC5516735	Nvec_vc1.1_LOC5516735	Nvec_vc1.1_XM_032386568			LOC5516735			NA
Elav_pos_R3.mLb.clN_peak_11492	NC_064043.1	3008118	3010188	+	1606	NA	intron (Nvec_vc1.1_LOC5516477, intron 10 of 18)	-intron (Nvec_vc1.1_LOC5516477, intron 10 of 18)	17729	Nvec_vc1.1_LOC5516422	Nvec_vc1.1_LOC5516422	Nvec_vc1.1_XM_032386311			LOC5516422			NA
Elav_pos_R3.mLb.clN_peak_118	NC_064034.1	2484489	2485299	+	1606	NA	promoter-TSS (Nvec_vc1.1_LOC5509821)	-promoter-TSS (Nvec_vc1.1_LOC5509821)	78	Nvec_vc1.1_LOC5509821	Nvec_vc1.1_LOC5509821	Nvec_vc1.1_XM_001630284			LOC5509821			NA
Elav_pos_R3.mLb.clN_peak_9802	NC_064041.1	8927849	8928814	+	1605	NA	promoter-TSS (Nvec_vc1.1_LOC5519334)	-promoter-TSS (Nvec_vc1.1_LOC5519334)	-14	Nvec_vc1.1_LOC5519334	Nvec_vc1.1_LOC5519334	Nvec_vc1.1_XM_001639183			LOC5519334			NA
Elav_pos_R3.mLb.clN_peak_6733	NC_064038.1	14363458	14364191	+	1605	NA	promoter-TSS (Nvec_vc1.1_LOC5505797)	-promoter-TSS (Nvec_vc1.1_LOC5505797)	88	Nvec_vc1.1_LOC5505797	Nvec_vc1.1_LOC5505797	Nvec_vc1.1_XM_001626498			LOC5505797			NA
Elav_pos_R3.mLb.clN_peak_10649	NC_064042.1	5835727	5836682	+	1604	NA	promoter-TSS (Nvec_vc1.1_LOC5501662)	-promoter-TSS (Nvec_vc1.1_LOC5501662)	-25	Nvec_vc1.1_LOC125572388	Nvec_vc1.1_LOC125572388	Nvec_vc1.1_XM_048732867			LOC125572388			NA
Elav_pos_R3.mLb.clN_peak_9833	NC_064041.1	9467124	9467863	+	1604	NA	promoter-TSS (Nvec_vc1.1_LOC5519352)	-promoter-TSS (Nvec_vc1.1_LOC5519352)	113	Nvec_vc1.1_LOC5519351	Nvec_vc1.1_LOC5519351	Nvec_vc1.1_XM_032364225			LOC5519351			NA
Elav_pos_R3.mLb.clN_peak_15797	NC_064047.1	7785227	7786203	+	1604	NA	TTS (Nvec_NVE1728)	-TTS (Nvec_NVE1728)	1456	Nvec_NVE1728	Nvec_NVE1728	Nvec_NVE1728						NA
Elav_pos_R3.mLb.clN_peak_8094	NC_064039.1	15409347	15409858	+	1601	NA	promoter-TSS (Nvec_NVE19151)	-promoter-TSS (Nvec_NVE19151)	-2	Nvec_NVE19151	Nvec_NVE19151	Nvec_NVE19151						NA
Elav_pos_R3.mLb.clN_peak_4052	NC_064036.1	13218690	13219510	+	1600	NA	promoter-TSS (Nvec_vc1.1_LOC5518665)	-promoter-TSS (Nvec_vc1.1_LOC5518665)	-8	Nvec_vc1.1_LOC5518665	Nvec_vc1.1_LOC5518665	Nvec_vc1.1_XM_001638542			LOC5518665			NA
Elav_pos_R3.mLb.clN_peak_684	NC_064034.1	10030717	10031706	+	1599	NA	promoter-TSS (Nvec_vc1.1_LOC5520400)	-promoter-TSS (Nvec_vc1.1_LOC5520400)	-22	Nvec_vc1.1_LOC5520401	Nvec_vc1.1_LOC5520401	Nvec_vc1.1_XM_048725792			LOC5520401			NA
Elav_pos_R3.mLb.clN_peak_4454	NC_064036.1	19127781	19128385	+	1599	NA	promoter-TSS (Nvec_vc1.1_LOC5509044)	-promoter-TSS (Nvec_vc1.1_LOC5509044)	70	Nvec_vc1.1_LOC5509044	Nvec_vc1.1_LOC5509044	Nvec_vc1.1_XM_048725739			LOC5509044			NA
Elav_pos_R3.mLb.clN_peak_8596	NC_064040.1	6790460	6791387	+	1599	NA	exon (Nvec_vc1.1_LOC5520745, exon 6 of 9)	-exon (Nvec_vc1.1_LOC5520745, exon 6 of 9)	4595	Nvec_vc1.1_LOC5520745	Nvec_vc1.1_LOC5520745	Nvec_vc1.1_XM_032365886			LOC5520745			NA
Elav_pos_R3.mLb.clN_peak_5574	NC_064037.1	14785830	14786696	+	1599	NA	promoter-TSS (Nvec_vc1.1_LOC5501108)	-promoter-TSS (Nvec_vc1.1_LOC5501108)	-8	Nvec_vc1.1_LOC5501108	Nvec_vc1.1_LOC5501108	Nvec_vc1.1_XM_001622409			LOC5501108			NA
Elav_pos_R3.mLb.clN_peak_5598	NC_064037.1	15070521	15071195	+	1596	NA	promoter-TSS (Nvec_vc1.1_LOC5507267)	-promoter-TSS (Nvec_vc1.1_LOC5507267)	-75	Nvec_vc1.1_LOC5507267	Nvec_vc1.1_LOC5507267	Nvec_vc1.1_XM_048726519			LOC5507267			NA
Elav_pos_R3.mLb.clN_peak_13813	NC_064045.1	7290423	7291252	+	1595	NA	promoter-TSS (Nvec_vc1.1_LOC5503888)	-promoter-TSS (Nvec_vc1.1_LOC5503888)	-3	Nvec_vc1.1_LOC5503888	Nvec_vc1.1_LOC5503888	Nvec_vc1.1_XM_032372105			LOC5503888			NA
Elav_pos_R3.mLb.clN_peak_16502	NC_064048.1	5320206	5320798	+	1594	NA	Intergenic	Intergenic	-1930	Nvec_vc1.1_LOC5522339	Nvec_vc1.1_LOC5522339	Nvec_vc1.1_XM_032367537			LOC5522339			NA
Elav_pos_R3.mLb.clN_peak_7131	NC_064039.1	3481767	3482486	+	1594	NA	promoter-TSS (Nvec_vc1.1_LOC5514629)	-promoter-TSS (Nvec_vc1.1_LOC5514629)	-82	Nvec_vc1.1_LOC5514629	Nvec_vc1.1_LOC5514629	Nvec_vc1.1_XM_048729417			LOC5514629			NA
Elav_pos_R3.mLb.clN_peak_13261	NC_064044.1	13289187	13289963	+	1592	NA	exon (Nvec_vc1.1_LOC5517542, exon 1 of 14)	-exon (Nvec_vc1.1_LOC5517542, exon 1 of 14)	249	Nvec_vc1.1_LOC5517542	Nvec_vc1.1_LOC5517542	Nvec_vc1.1_XM_048734154			LOC5517542			NA
Elav_pos_R3.mLb.clN_peak_181	NC_064034.1	3320526	3322082	+	1591	NA	promoter-TSS (Nvec_vc1.1_LOC5506272)	-promoter-TSS (Nvec_vc1.1_LOC5506272)	-366	Nvec_vc1.1_LOC5506272	Nvec_vc1.1_LOC5506272	Nvec_vc1.1_XM_032374627			LOC5506272			NA
Elav_pos_R3.mLb.clN_peak_4494	NC_064036.1	19516830	19518579	+	1590	NA	exon (Nvec_vc1.1_LOC5508997, exon 2 of 21)	-exon (Nvec_vc1.1_LOC5508997, exon 2 of 21)	556	Nvec_vc1.1_LOC5508997	Nvec_vc1.1_LOC5508997	Nvec_vc1.1_XM_032377880			LOC5508997			NA
Elav_pos_R3.mLb.clN_peak_12740	NC_064044.1	4823413	4824481	+	1590	NA	promoter-TSS (Nvec_vc1.1_LOC5501384)	-promoter-TSS (Nvec_vc1.1_LOC5501384)	-125	Nvec_vc1.1_LOC5501384	Nvec_vc1.1_LOC5501384	Nvec_vc1.1_XM_032369709			LOC5501384			NA
Elav_pos_R3.mLb.clN_peak_12194	NC_064043.1	11282868	11283958	+	1590	NA	promoter-TSS (Nvec_vc1.1_LOC5519153)	-promoter-TSS (Nvec_vc1.1_LOC5519153)	4	Nvec_vc1.1_LOC5519153	Nvec_vc1.1_LOC5519153	Nvec_vc1.1_XM_001639081			LOC5519153			NA
Elav_pos_R3.mLb.clN_peak_14922	NC_064046.1	8548994	8549552	+	1589	NA	promoter-TSS (Nvec_vc1.1_LOC5503485)	-promoter-TSS (Nvec_vc1.1_LOC5503485)	-4	Nvec_vc1.1_LOC5503485	Nvec_vc1.1_LOC5503485	Nvec_vc1.1_XM_001624509			LOC5503485			NA
Elav_pos_R3.mLb.clN_peak_10790	NC_064042.1	7890185	7890894	+	1587	NA	promoter-TSS (Nvec_vc1.1_LOC5515479)	-promoter-TSS (Nvec_vc1.1_LOC5515479)	71	Nvec_vc1.1_LOC5515480	Nvec_vc1.1_LOC5515480	Nvec_vc1.1_XM_032385061			LOC5515480			NA
Elav_pos_R3.mLb.clN_peak_12013	NC_064043.1	8913516	8914348	+	1586	NA	promoter-TSS (Nvec_vc1.1_LOC5513539)	-promoter-TSS (Nvec_vc1.1_LOC5513539)	234	Nvec_vc1.1_LOC5513579	Nvec_vc1.1_LOC5513579	Nvec_vc1.1_XM_032383038			LOC5513579			NA
Elav_pos_R3.mLb.clN_peak_16610	NC_064048.1	6632473	6634581	+	1586	NA	promoter-TSS (Nvec_NVE8668)	-promoter-TSS (Nvec_NVE8668)	247	Nvec_vc1.1_LOC5506364	Nvec_vc1.1_LOC5506364	Nvec_vc1.1_XM_048723161			LOC5506364			NA
Elav_pos_R3.mLb.clN_peak_14526	NC_064046.1	2511156	2512024	+	1585	NA	TTS (Nvec_vc1.1_LOC5507376)	-TTS (Nvec_vc1.1_LOC5507376)	146	Nvec_vc1.1_LOC5513338	Nvec_vc1.1_LOC5513338	Nvec_vc1.1_XM_001633558			LOC5513338			NA
Elav_pos_R3.mLb.clN_peak_13064	NC_064044.1	10704580	10705330	+	1585	NA	promoter-TSS (Nvec_vc1.1_LOC5501394)	-promoter-TSS (Nvec_vc1.1_LOC5501394)	44	Nvec_vc1.1_LOC5501394	Nvec_vc1.1_LOC5501394	Nvec_vc1.1_XM_048734388			LOC5501394			NA
Elav_pos_R3.mLb.clN_peak_964	NC_064034.1	13416818	13417728	+	1584	NA	promoter-TSS (Nvec_vc1.1_LOC5515913)	-promoter-TSS (Nvec_vc1.1_LOC5515913)	40	Nvec_vc1.1_LOC5515866	Nvec_vc1.1_LOC5515866	Nvec_vc1.1_XM_048731900			LOC5515866			NA
Elav_pos_R3.mLb.clN_peak_10959	NC_064042.1	10348299	10349225	+	1583	NA	promoter-TSS (Nvec_vc1.1_LOC5512689)	-promoter-TSS (Nvec_vc1.1_LOC5512689)	-163	Nvec_vc1.1_LOC5512689	Nvec_vc1.1_LOC5512689	Nvec_vc1.1_XM_001632947			LOC5512689			NA
Elav_pos_R3.mLb.clN_peak_15933	NC_064047.1	9825699	9826771	+	1583	NA	intron (Nvec_vc1.1_LOC5510333, intron 1 of 1)	-intron (Nvec_vc1.1_LOC5510333, intron 1 of 1)	2642	Nvec_vc1.1_LOC5510333	Nvec_vc1.1_LOC5510333	Nvec_vc1.1_XM_001630767			LOC5510333			NA
Elav_pos_R3.mLb.clN_peak_5988	NC_064038.1	3578638	3579656	+	1582	NA	exon (Nvec_vc1.1_LOC116601479, exon 1 of 6)	-exon (Nvec_vc1.1_LOC116601479, exon 1 of 6)	152	Nvec_vc1.1_LOC116601479	Nvec_vc1.1_LOC116601479	Nvec_vc1.1_XM_032362308			LOC116601479			NA
Elav_pos_R3.mLb.clN_peak_806	NC_064034.1	11448357	11449142	+	1581	NA	promoter-TSS (Nvec_vc1.1_LOC5517400)	-promoter-TSS (Nvec_vc1.1_LOC5517400)	35	Nvec_vc1.1_LOC5517400	Nvec_vc1.1_LOC5517400	Nvec_vc1.1_XM_001637352			LOC5517400			NA
Elav_pos_R3.mLb.clN_peak_7884	NC_064039.1	12375659	12376442	+	1581	NA	promoter-TSS (Nvec_vc1.1_LOC5520932)	-promoter-TSS (Nvec_vc1.1_LOC5520932)	-18	Nvec_vc1.1_LOC5520932	Nvec_vc1.1_LOC5520932	Nvec_vc1.1_XM_032366112			LOC5520932			NA
Elav_pos_R3.mLb.clN_peak_6269	NC_064038.1	7913994	7914711	+	1580	NA	promoter-TSS (Nvec_vc1.1_LOC5505745)	-promoter-TSS (Nvec_vc1.1_LOC5505745)	32	Nvec_vc1.1_LOC5505745	Nvec_vc1.1_LOC5505745	Nvec_vc1.1_XM_001626441			LOC5505745			NA
Elav_pos_R3.mLb.clN_peak_12174	NC_064043.1	10998677	11000234	+	1579	NA	promoter-TSS (Nvec_vc1.1_LOC5519231)	-promoter-TSS (Nvec_vc1.1_LOC5519231)	366	Nvec_vc1.1_LOC5519230	Nvec_vc1.1_LOC5519230	Nvec_vc1.1_XM_048733758			LOC5519230			NA
Elav_pos_R3.mLb.clN_peak_7452	NC_064039.1	7041670	7042612	+	1579	NA	promoter-TSS (Nvec_vc1.1_LOC5515025)	-promoter-TSS (Nvec_vc1.1_LOC5515025)	-14	Nvec_vc1.1_LOC5515025	Nvec_vc1.1_LOC5515025	Nvec_vc1.1_XM_001635172			LOC5515025			NA
Elav_pos_R3.mLb.clN_peak_1743	NC_064035.1	3841332	3842098	+	1579	NA	promoter-TSS (Nvec_vc1.1_LOC5514799)	-promoter-TSS (Nvec_vc1.1_LOC5514799)	-2	Nvec_vc1.1_LOC5514799	Nvec_vc1.1_LOC5514799	Nvec_vc1.1_XM_001634963			LOC5514799			NA
Elav_pos_R3.mLb.clN_peak_16898	NC_064048.1	10901034	10902344	+	1577	NA	promoter-TSS (Nvec_vc1.1_LOC5502352)	-promoter-TSS (Nvec_vc1.1_LOC5502352)	-183	Nvec_vc1.1_LOC5502352	Nvec_vc1.1_LOC5502352	Nvec_vc1.1_XM_048723136			LOC5502352			NA
Elav_pos_R3.mLb.clN_peak_2377	NC_064035.1	12296159	12297301	+	1576	NA	promoter-TSS (Nvec_vc1.1_LOC5514092)	-promoter-TSS (Nvec_vc1.1_LOC5514092)	-96	Nvec_vc1.1_LOC5514092	Nvec_vc1.1_LOC5514092	Nvec_vc1.1_XM_032383672			LOC5514092			NA
Elav_pos_R3.mLb.clN_peak_16925	NC_064048.1	12454175	12455231	+	1576	NA	intron (Nvec_v1g122288, intron 1 of 4)	-intron (Nvec_v1g122288, intron 1 of 4)	157	Nvec_v1g122288	Nvec_v1g122288	Nvec_v1g122288						NA
Elav_pos_R3.mLb.clN_peak_9022	NC_064040.1	12447561	12448401	+	1576	NA	intron (Nvec_vc1.1_LOC116617321, intron 1 of 10)	-intron (Nvec_vc1.1_LOC116617321, intron 1 of 10)	3263	Nvec_vc1.1_LOC116617321	Nvec_vc1.1_LOC116617321	Nvec_vc1.1_XM_032379942			LOC116617321			NA
Elav_pos_R3.mLb.clN_peak_11508	NC_064043.1	3218305	3219284	+	1576	NA	promoter-TSS (Nvec_vc1.1_LOC5516472)	-promoter-TSS (Nvec_vc1.1_LOC5516472)	-58	Nvec_vc1.1_LOC5516409	Nvec_vc1.1_LOC5516409	Nvec_vc1.1_XM_048733894			LOC5516409			NA
Elav_pos_R3.mLb.clN_peak_10190	NC_064041.1	15755268	15755939	+	1573	NA	promoter-TSS (Nvec_vc1.1_LOC5505343)	-promoter-TSS (Nvec_vc1.1_LOC5505343)	56	Nvec_vc1.1_LOC5505343	Nvec_vc1.1_LOC5505343	Nvec_vc1.1_XM_032373791			LOC5505343			NA
Elav_pos_R3.mLb.clN_peak_2249	NC_064035.1	10452508	10453239	+	1573	NA	promoter-TSS (Nvec_vc1.1_LOC5521173)	-promoter-TSS (Nvec_vc1.1_LOC5521173)	22	Nvec_vc1.1_LOC5521173	Nvec_vc1.1_LOC5521173	Nvec_vc1.1_XM_032366423			LOC5521173			NA
Elav_pos_R3.mLb.clN_peak_10202	NC_064041.1	16008984	16009545	+	1572	NA	promoter-TSS (Nvec_vc1.1_LOC5505344)	-promoter-TSS (Nvec_vc1.1_LOC5505344)	-24	Nvec_vc1.1_LOC5505344	Nvec_vc1.1_LOC5505344	Nvec_vc1.1_XM_001626140			LOC5505344			NA
Elav_pos_R3.mLb.clN_peak_8963	NC_064040.1	11582133	11582812	+	1571	NA	promoter-TSS (Nvec_vc1.1_LOC5504959)	-promoter-TSS (Nvec_vc1.1_LOC5504959)	-67	Nvec_vc1.1_LOC5504959	Nvec_vc1.1_LOC5504959	Nvec_vc1.1_XM_032373337			LOC5504959			NA
Elav_pos_R3.mLb.clN_peak_5440	NC_064037.1	12501453	12502971	+	1571	NA	promoter-TSS (Nvec_vc1.1_LOC5508858)	-promoter-TSS (Nvec_vc1.1_LOC5508858)	69	Nvec_vc1.1_LOC5508847	Nvec_vc1.1_LOC5508847	Nvec_vc1.1_XM_032377670			LOC5508847			NA
Elav_pos_R3.mLb.clN_peak_3549	NC_064036.1	7065479	7066614	+	1570	NA	promoter-TSS (Nvec_vc1.1_LOC5513622)	-promoter-TSS (Nvec_vc1.1_LOC5513622)	-66	Nvec_vc1.1_LOC5513622	Nvec_vc1.1_LOC5513622	Nvec_vc1.1_XM_001633814			LOC5513622			NA
Elav_pos_R3.mLb.clN_peak_11183	NC_064042.1	13598010	13598943	+	1569	NA	TTS (Nvec_vc1.1_LOC5505435)	-TTS (Nvec_vc1.1_LOC5505435)	-7915	Nvec_NVE10188	Nvec_NVE10188	Nvec_NVE10188						NA
Elav_pos_R3.mLb.clN_peak_5659	NC_064037.1	15639863	15640770	+	1569	NA	promoter-TSS (Nvec_vc1.1_LOC5516078)	-promoter-TSS (Nvec_vc1.1_LOC5516078)	-23	Nvec_vc1.1_LOC5516078	Nvec_vc1.1_LOC5516078	Nvec_vc1.1_XM_048726506			LOC5516078			NA
Elav_pos_R3.mLb.clN_peak_13109	NC_064044.1	11428352	11428950	+	1567	NA	promoter-TSS (Nvec_vc1.1_LOC5504413)	-promoter-TSS (Nvec_vc1.1_LOC5504413)	-55	Nvec_vc1.1_LOC5504412	Nvec_vc1.1_LOC5504412	Nvec_vc1.1_XM_001625273			LOC5504412			NA
Elav_pos_R3.mLb.clN_peak_9520	NC_064041.1	4276909	4277850	+	1567	NA	promoter-TSS (Nvec_vc1.1_LOC116619378)	-promoter-TSS (Nvec_vc1.1_LOC116619378)	53	Nvec_vc1.1_LOC116619378	Nvec_vc1.1_LOC116619378	Nvec_vc1.1_XM_032384110			LOC116619378			NA
Elav_pos_R3.mLb.clN_peak_16947	NW_026019271.1	16145	16703	+	1567	NA	promoter-TSS (Nvec_vc1.1_LOC125560856)	-promoter-TSS (Nvec_vc1.1_LOC125560856)	-34	Nvec_vc1.1_LOC125560856	Nvec_vc1.1_LOC125560856	Nvec_vc1.1_XM_048723190			LOC125560856			NA
Elav_pos_R3.mLb.clN_peak_6606	NC_064038.1	12456213	12456926	+	1567	NA	promoter-TSS (Nvec_vc1.1_LOC5514141)	-promoter-TSS (Nvec_vc1.1_LOC5514141)	65	Nvec_vc1.1_LOC5514141	Nvec_vc1.1_LOC5514141	Nvec_vc1.1_XM_001634324			LOC5514141			NA
Elav_pos_R3.mLb.clN_peak_13045	NC_064044.1	10012518	10013447	+	1566	NA	promoter-TSS (Nvec_vc1.1_LOC5510196)	-promoter-TSS (Nvec_vc1.1_LOC5510196)	-18	Nvec_vc1.1_LOC5510196	Nvec_vc1.1_LOC5510196	Nvec_vc1.1_XM_032379299			LOC5510196			NA
Elav_pos_R3.mLb.clN_peak_11266	NC_064042.1	15015983	15016749	+	1565	NA	promoter-TSS (Nvec_vc1.1_LOC5506629)	-promoter-TSS (Nvec_vc1.1_LOC5506629)	39	Nvec_vc1.1_LOC5506629	Nvec_vc1.1_LOC5506629	Nvec_vc1.1_XM_048733083			LOC5506629			NA
Elav_pos_R3.mLb.clN_peak_7885	NC_064039.1	12382291	12383487	+	1565	NA	promoter-TSS (Nvec_vc1.1_LOC5520933)	-promoter-TSS (Nvec_vc1.1_LOC5520933)	-87	Nvec_vc1.1_LOC5520933	Nvec_vc1.1_LOC5520933	Nvec_vc1.1_XM_048729463			LOC5520933			NA
Elav_pos_R3.mLb.clN_peak_15513	NC_064047.1	2508321	2509134	+	1564	NA	promoter-TSS (Nvec_vc1.1_LOC5518824)	-promoter-TSS (Nvec_vc1.1_LOC5518824)	63	Nvec_vc1.1_LOC5518825	Nvec_vc1.1_LOC5518825	Nvec_vc1.1_XM_032363544			LOC5518825			NA
Elav_pos_R3.mLb.clN_peak_11141	NC_064042.1	13035621	13036664	+	1562	NA	promoter-TSS (Nvec_vc1.1_LOC5506439)	-promoter-TSS (Nvec_vc1.1_LOC5506439)	-41	Nvec_vc1.1_LOC5506439	Nvec_vc1.1_LOC5506439	Nvec_vc1.1_XM_032374819			LOC5506439			NA
Elav_pos_R3.mLb.clN_peak_10400	NC_064042.1	2414613	2415713	+	1561	NA	promoter-TSS (Nvec_vc1.1_LOC5511654)	-promoter-TSS (Nvec_vc1.1_LOC5511654)	81	Nvec_vc1.1_LOC5511654	Nvec_vc1.1_LOC5511654	Nvec_vc1.1_XM_048732599			LOC5511654			NA
Elav_pos_R3.mLb.clN_peak_14031	NC_064045.1	10972369	10973356	+	1561	NA	promoter-TSS (Nvec_vc1.1_LOC5506112)	-promoter-TSS (Nvec_vc1.1_LOC5506112)	55	Nvec_vc1.1_LOC5506112	Nvec_vc1.1_LOC5506112	Nvec_vc1.1_XM_048720335			LOC5506112			NA
Elav_pos_R3.mLb.clN_peak_8437	NC_064040.1	4734450	4735334	+	1561	NA	promoter-TSS (Nvec_vc1.1_LOC116612001)	-promoter-TSS (Nvec_vc1.1_LOC116612001)	-38	Nvec_vc1.1_LOC116612001	Nvec_vc1.1_LOC116612001	Nvec_vc1.1_XM_032372612			LOC116612001			NA
Elav_pos_R3.mLb.clN_peak_9493	NC_064041.1	3699901	3700691	+	1561	NA	promoter-TSS (Nvec_vc1.1_LOC5501359)	-promoter-TSS (Nvec_vc1.1_LOC5501359)	-17	Nvec_vc1.1_LOC5501359	Nvec_vc1.1_LOC5501359	Nvec_vc1.1_XM_001622605			LOC5501359			NA
Elav_pos_R3.mLb.clN_peak_9847	NC_064041.1	9675751	9676547	+	1560	NA	promoter-TSS (Nvec_vc1.1_LOC5519359)	-promoter-TSS (Nvec_vc1.1_LOC5519359)	47	Nvec_vc1.1_LOC5519390	Nvec_vc1.1_LOC5519390	Nvec_vc1.1_XM_032364243			LOC5519390			NA
Elav_pos_R3.mLb.clN_peak_13442	NC_064045.1	2126086	2127360	+	1560	NA	promoter-TSS (Nvec_vc1.1_LOC5509537)	-promoter-TSS (Nvec_vc1.1_LOC5509537)	-356	Nvec_vc1.1_LOC5509537	Nvec_vc1.1_LOC5509537	Nvec_vc1.1_XM_001629987			LOC5509537			NA
Elav_pos_R3.mLb.clN_peak_5745	NC_064037.1	16591572	16592523	+	1557	NA	promoter-TSS (Nvec_vc1.1_LOC5513938)	-promoter-TSS (Nvec_vc1.1_LOC5513938)	42	Nvec_vc1.1_LOC5513938	Nvec_vc1.1_LOC5513938	Nvec_vc1.1_XM_001634127			LOC5513938			NA
Elav_pos_R3.mLb.clN_peak_5657	NC_064037.1	15621879	15622876	+	1556	NA	promoter-TSS (Nvec_vc1.1_LOC5516092)	-promoter-TSS (Nvec_vc1.1_LOC5516092)	-115	Nvec_vc1.1_LOC5516082	Nvec_vc1.1_LOC5516082	Nvec_vc1.1_XM_048726467			LOC5516082			NA
Elav_pos_R3.mLb.clN_peak_5779	NC_064037.1	17205868	17206652	+	1556	NA	promoter-TSS (Nvec_vc1.1_LOC5511311)	-promoter-TSS (Nvec_vc1.1_LOC5511311)	42	Nvec_vc1.1_LOC5511311	Nvec_vc1.1_LOC5511311	Nvec_vc1.1_XM_032380600			LOC5511311			NA
Elav_pos_R3.mLb.clN_peak_13281	NC_064044.1	13659259	13660448	+	1555	NA	promoter-TSS (Nvec_NVE12528)	-promoter-TSS (Nvec_NVE12528)	-152	Nvec_NVE12528	Nvec_NVE12528	Nvec_NVE12528						NA
