gene	og	pfam
Nvec_vc1.1_XM_032364784.2	Homeodomains.HG1.28:HHEX	HHEX
Nvec_v1g39891	Homeodomains.HG1.28:HHEX	HHEX
Nvec_v1g164989	Homeodomains.HG1.29:LBX1/LBX2	LBX2
Nvec_vc1.1_XM_001634715.3	Homeodomains.HG1.29:LBX1/LBX2	LBX2
Nvec_v1g89029	Homeodomains.HG1.31:DLX1/DLX2/DLX3/DLX4/DLX5/DLX6	DLX1/DLX2/DLX3/DLX5/DLX6
Nvec_vc1.1_XM_032363350.2	Homeodomains.HG1.31:DLX1/DLX2/DLX3/DLX4/DLX5/DLX6	DLX1/DLX2/DLX3/DLX5/DLX6
Nvec_v1g82763	Homeodomains.HG1.34:HMX1/HMX2/HMX3	HMX1/HMX2/HMX3
Nvec_vc1.1_XM_032366211.2	Homeodomains.HG1.34:HMX1/HMX2/HMX3	HMX1/HMX2/HMX3
Nvec_v1g139174	Homeodomains.HG1.37:NKX6-1/NKX6-2/NKX6-3	NKX6-1/NKX6-2/NKX6-3
Nvec_vc1.1_XM_032370011.2	Homeodomains.HG1.37:NKX6-1/NKX6-2/NKX6-3	NKX6-1/NKX6-2/NKX6-3
Nvec_v1g48828	Homeodomains.HG1.37:NKX6-1/NKX6-2/NKX6-3	
Nvec_vc1.1_XM_032370013.2	Homeodomains.HG1.37:NKX6-1/NKX6-2/NKX6-3	
Nvec_vc1.1_XM_032379688.2	Homeodomains.HG1.39:BARHL1/BARHL2	BARHL1/BARHL2
Nvec_vc1.1_XM_032364121.2	Homeodomains.HG1.39:BARHL1/BARHL2	BARHL1/BARHL2
Nvec_vc1.1_XM_032384965.2	Homeodomains.HG1.39:BARHL1/BARHL2	BARHL1/BARHL2
Nvec_v1g6429	Homeodomains.HG1.39:BARHL1/BARHL2	BARHL1/BARHL2
Nvec_v1g57885	Homeodomains.HG1.39:BARHL1/BARHL2	BARHL1/BARHL2
Nvec_v1g98238	Homeodomains.HG1.39:BARHL1/BARHL2	BARHL1/BARHL2
Nvec_vc1.1_XM_001640781.3	Homeodomains.HG1.41:NKX1-1/NKX1-2	NKX1-1/NKX1-2
Nvec_v1g197493	Homeodomains.HG1.41:NKX1-1/NKX1-2	NKX1-1/NKX1-2
Nvec_v1g117718	Homeodomains.HG1.42:VAX1/VAX2	VAX1/VAX2
Nvec_v1g117688	Homeodomains.HG1.42:VAX1/VAX2	
Nvec_vc1.1_XM_032377390.2	Homeodomains.HG1.42:VAX1/VAX2	
Nvec_v1g91847	Homeodomains.HG1.42:VAX1/VAX2	
Nvec_vc1.1_XM_032377358.2	Homeodomains.HG1.42:VAX1/VAX2	VAX1/VAX2
Nvec_v1g39913	Homeodomains.HG1.44:EMX1/EMX2	EMX1/EMX2
Nvec_vc1.1_XM_032366085.2	Homeodomains.HG1.44:EMX1/EMX2	EMX1/EMX2
Nvec_v1g123192	Homeodomains.HG1.44:EMX1/EMX2	EMX1/EMX2
Nvec_vc1.1_XM_032375107.2	Homeodomains.HG1.44:EMX1/EMX2	EMX1/EMX2
Nvec_v1g80927	Homeodomains.HG1.47:like:MSX1/MSX2	
Nvec_v1g80394	Homeodomains.HG1.47:like:MSX1/MSX2	
Nvec_vc1.1_XM_001641552.3	Homeodomains.HG1.47:like:MSX1/MSX2	
Nvec_vc1.1_XM_032367023.2	Homeodomains.HG1.47:like:MSX1/MSX2	
Nvec_vc1.1_XM_032366210.2	Homeodomains.HG1.48:MSX1/MSX2	MSX1/MSX2
Nvec_v1g82785	Homeodomains.HG1.48:MSX1/MSX2	MSX1/MSX2
Nvec_vc1.1_XM_032377135.2	Homeodomains.HG1.49:like:NOTO	
Nvec_vc1.1_XM_001630519.3	Homeodomains.HG1.49:like:NOTO	
Nvec_vc1.1_XM_032366609.2	Homeodomains.HG1.49:like:NOTO	
Nvec_v1g118347	Homeodomains.HG1.49:like:NOTO	
Nvec_v1g4795	Homeodomains.HG1.49:like:NOTO	
Nvec_v1g81163	Homeodomains.HG1.49:like:NOTO	
Nvec_vc1.1_XM_032383681.2	Homeodomains.HG1.51:like:AC004080.3/AC012531.3/CDX1/CDX2/CDX4/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/MEOX1/MEOX2/MNX1/PDX1	
Nvec_v1g59496	Homeodomains.HG1.51:like:AC004080.3/AC012531.3/CDX1/CDX2/CDX4/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/MEOX1/MEOX2/MNX1/PDX1	
Nvec_vc1.1_XM_032383695.2	Homeodomains.HG1.52:EVX1/EVX2	EVX1/EVX2
Nvec_v1g101680	Homeodomains.HG1.52:EVX1/EVX2	EVX1/EVX2
Nvec_vc1.1_XM_032383693.2	Homeodomains.HG1.53:MNX1	MNX1
Nvec_v1g101731	Homeodomains.HG1.53:MNX1	MNX1
Nvec_v1g80405	Homeodomains.HG1.54:like:NOTO	
Nvec_vc1.1_XM_032366836.2	Homeodomains.HG1.54:like:NOTO	
Nvec_v1g200278	Homeodomains.HG1.55:like:EN1/EN2	
Nvec_vc1.1_XM_048724802.1	Homeodomains.HG1.55:like:EN1/EN2	
Nvec_vc1.1_XM_032371859.2	Homeodomains.HG1.56:like:EN1/EN2	
Nvec_v1g59708	Homeodomains.HG1.56:like:EN1/EN2	
Nvec_v1g27862	Homeodomains.HG1.57:GBX1/GBX2	GBX1/GBX2
Nvec_vc1.1_XM_032383948.2	Homeodomains.HG1.57:GBX1/GBX2	GBX1/GBX2
Nvec_vc1.1_XM_001634202.3	Homeodomains.HG1.58:HOXA1/HOXB1/HOXD1	HOXA1/HOXB1/HOXD1
Nvec_vc1.1_XM_032364773.2	Homeodomains.HG1.59:like:NOTO	
Nvec_v1g8907	Homeodomains.HG1.59:like:NOTO	
Nvec_vc1.1_XM_001641264.3	Homeodomains.HG1.61:NOTO	NOTO
Nvec_v1g81309	Homeodomains.HG1.61:NOTO	NOTO
Nvec_vc1.1_XM_001625898.3	Homeodomains.HG1.62:like:MEOX1/MEOX2	
Nvec_v1g128289	Homeodomains.HG1.62:like:MEOX1/MEOX2	
Nvec_vc1.1_XM_032373497.2	Homeodomains.HG1.63:like:MEOX1/MEOX2	
Nvec_v1g128296	Homeodomains.HG1.63:like:MEOX1/MEOX2	
Nvec_vc1.1_XM_032373496.2	Homeodomains.HG1.64:MEOX1/MEOX2	MEOX1/MEOX2
Nvec_v1g128275	Homeodomains.HG1.64:MEOX1/MEOX2	MEOX1/MEOX2
Nvec_v1g128302	Homeodomains.HG1.65:like:MEOX1/MEOX2	
Nvec_vc1.1_XM_001625899.3	Homeodomains.HG1.65:like:MEOX1/MEOX2	
Nvec_v1g80987	Homeodomains.HG1.66:like:GSX1/GSX2	
Nvec_v1g91378	Homeodomains.HG1.66:like:GSX1/GSX2	
Nvec_vc1.1_XM_032367075.2	Homeodomains.HG1.66:like:GSX1/GSX2	
Nvec_vc1.1_XM_032362307.2	Homeodomains.HG1.66:like:GSX1/GSX2	
Nvec_v1g91593	Homeodomains.HG1.67:GSX1/GSX2	GSX1/GSX2
Nvec_v1g150519	Homeodomains.HG1.67:GSX1/GSX2	GSX1/GSX2
Nvec_vc1.1_XM_001637733.3	Homeodomains.HG1.67:GSX1/GSX2	GSX1/GSX2
Nvec_v1g196876	Homeodomains.HG1.68:AC004080.3/AC012531.3/CDX1/CDX2/CDX4/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13	AC004080.3/AC012531.3/CDX1/CDX2/CDX4/HOXA10/HOXA11/HOXA13/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXB13/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXC10/HOXC12/HOXC13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXD10/HOXD11/HOXD12/HOXD13/HOXD4/HOXD8/HOXD9
Nvec_v1g81249	Homeodomains.HG1.68:AC004080.3/AC012531.3/CDX1/CDX2/CDX4/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13	AC004080.3/AC012531.3/CDX1/CDX2/CDX4/HOXA10/HOXA11/HOXA13/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXB13/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXC10/HOXC12/HOXC13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXD10/HOXD11/HOXD12/HOXD13/HOXD4/HOXD8/HOXD9
Nvec_vc1.1_XM_032366733.2	Homeodomains.HG1.68:AC004080.3/AC012531.3/CDX1/CDX2/CDX4/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13	AC004080.3/AC012531.3/CDX1/CDX2/CDX4/HOXA10/HOXA11/HOXA13/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXB13/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXC10/HOXC12/HOXC13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXD10/HOXD11/HOXD12/HOXD13/HOXD4/HOXD8/HOXD9
Nvec_vc1.1_XM_001641575.3	Homeodomains.HG1.68:AC004080.3/AC012531.3/CDX1/CDX2/CDX4/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13	AC004080.3/AC012531.3/CDX1/CDX2/CDX4/HOXA10/HOXA11/HOXA13/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXB13/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXC10/HOXC12/HOXC13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXD10/HOXD11/HOXD12/HOXD13/HOXD4/HOXD8/HOXD9
Nvec_v1g90956	Homeodomains.HG1.69:HOXA3/HOXB3/HOXD3	HOXA3/HOXB3/HOXD3
Nvec_vc1.1_XM_032362396.2	Homeodomains.HG1.69:HOXA3/HOXB3/HOXD3	HOXA3/HOXB3/HOXD3
Nvec_v1g205636	Homeodomains.HG1.70:HOXA2/HOXB2/PDX1	HOXA2/HOXB2/PDX1
Nvec_v1g101730	Homeodomains.HG1.70:HOXA2/HOXB2/PDX1	HOXA2/HOXB2/PDX1
Nvec_v1g101611	Homeodomains.HG1.70:HOXA2/HOXB2/PDX1	HOXA2/HOXB2/PDX1
Nvec_vc1.1_XM_032383677.2	Homeodomains.HG1.70:HOXA2/HOXB2/PDX1	HOXA2/HOXB2/PDX1
Nvec_vc1.1_XM_001634198.3	Homeodomains.HG1.70:HOXA2/HOXB2/PDX1	HOXA2/HOXB2/PDX1
Nvec_vc1.1_XM_001634199.3	Homeodomains.HG1.70:HOXA2/HOXB2/PDX1	HOXA2/HOXB2/PDX1
Nvec_vc1.1_XM_032385169.2	Homeodomains.HG1.71:like:NOTO	
Nvec_v1g97927	Homeodomains.HG1.71:like:NOTO	
Nvec_vc1.1_XM_001628481.3	Homeodomains.HG1.72:like:NOTO	
Nvec_vc1.1_XM_032364561.2	Homeodomains.HG2.0:HNF1A/HNF1B	HNF1A/HNF1B
Nvec_NVE2910	Homeodomains.HG2.0:HNF1A/HNF1B	HNF1A/HNF1B
Nvec_v1g92785	Homeodomains.HG2.1:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4	
Nvec_vc1.1_XM_032387312.2	Homeodomains.HG2.1:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4	
Nvec_vc1.1_XM_048727956.1	Homeodomains.HG2.2:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4	
Nvec_v1g49015	Homeodomains.HG2.2:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4	
Nvec_v1g48953	Homeodomains.HG2.2:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4	
Nvec_v1g133019	Homeodomains.HG2.3:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4	
Nvec_vc1.1_XM_001624560.3	Homeodomains.HG2.3:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4	
Nvec_vc1.1_XM_032365212.2	Homeodomains.HG2.3:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4	
Nvec_v1g198584	Homeodomains.HG2.3:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4	
Nvec_vc1.1_XM_001625754.3	Homeodomains.HG2.6:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4	
Nvec_v1g246932	Homeodomains.HG2.6:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4	
Nvec_vc1.1_XM_032384949.2	Homeodomains.HG2.8:LHX2/LHX9	LHX2/LHX9
Nvec_vc1.1_XM_032374041.2	Homeodomains.HG2.9:LHX6/LHX8/ZFHX2/ZFHX3/ZFHX4	LHX6/LHX8
Nvec_v1g246590	Homeodomains.HG2.9:LHX6/LHX8/ZFHX2/ZFHX3/ZFHX4	LHX6/LHX8
Nvec_vc1.1_XM_048729604.1	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_vc1.1_XM_048728429.1	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_vc1.1_XM_032387414.2	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_vc1.1_XM_032387408.2	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_vc1.1_XM_048728521.1	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_vc1.1_XM_048728362.1	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_vc1.1_XM_048728361.1	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_vc1.1_XM_048720182.1	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_v1g38792	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_vc1.1_XM_048728452.1	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_v1g69041	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_vc1.1_XM_048729380.1	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_vc1.1_XM_048733538.1	Homeodomains.HG2.11:DUX4/DUXA/DUXB	DUX4/DUXA/DUXB
Nvec_vc1.1_XM_048728392.1	Homeodomains.HG2.11:DUX4/DUXA/DUXB	DUX4/DUXA/DUXB
Nvec_vc1.1_XM_048725701.1	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_vc1.1_XM_048729175.1	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_v1g92436	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_vc1.1_XM_001623946.3	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_vc1.1_XM_001634768.3	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_vc1.1_XM_032387407.2	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_v1g92500	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_v1g150808	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_vc1.1_XM_048728436.1	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_v1g92347	Homeodomains.HG2.11:DUX4/DUXA/DUXB	
Nvec_vc1.1_XM_048727075.1	Homeodomains.HG2.12:ESX1	ESX1
Nvec_v1g212484	Homeodomains.HG2.15:LEUTX	LEUTX
Nvec_vc1.1_XM_032376939.2	Homeodomains.HG2.15:LEUTX	LEUTX
Nvec_v1g225956	Homeodomains.HG2.15:LEUTX	LEUTX
Nvec_v1g136480	Homeodomains.HG2.17:like:RHOXF1	
Nvec_vc1.1_XM_048727543.1	Homeodomains.HG2.17:like:RHOXF1	
Nvec_vc1.1_XM_048727305.1	Homeodomains.HG2.18:RHOXF1	RHOXF1
Nvec_v1g112745	Homeodomains.HG2.18:RHOXF1	RHOXF1
Nvec_v1g161808	Homeodomains.HG2.19:ISL1/ISL2	ISL1/ISL2
Nvec_vc1.1_XM_032362713.2	Homeodomains.HG2.19:ISL1/ISL2	ISL1/ISL2
Nvec_v1g109857	Homeodomains.HG2.20:LHX1/LHX3/LHX4/LHX5/LMX1A/LMX1B	LHX1/LHX5
Nvec_vc1.1_XM_001631673.3	Homeodomains.HG2.20:LHX1/LHX3/LHX4/LHX5/LMX1A/LMX1B	LHX1/LHX5
Nvec_v1g95727	Homeodomains.HG2.20:LHX1/LHX3/LHX4/LHX5/LMX1A/LMX1B	LMX1A/LMX1B
Nvec_vc1.1_XM_048731858.1	Homeodomains.HG2.20:LHX1/LHX3/LHX4/LHX5/LMX1A/LMX1B	
Nvec_vc1.1_XM_048731137.1	Homeodomains.HG2.20:LHX1/LHX3/LHX4/LHX5/LMX1A/LMX1B	LMX1A/LMX1B
Nvec_vc1.1_XM_048725765.1	Homeodomains.HG2.21:like:LEUTX	
Nvec_NVE7697	Homeodomains.HG2.24:like:LEUTX	
Nvec_vc1.1_NVE7697	Homeodomains.HG2.24:like:LEUTX	
Nvec_vc1.1_XM_001639101.3	Homeodomains.HG2.27:like:PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9	
Nvec_v1g239535	Homeodomains.HG2.27:like:PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9	
Nvec_vc1.1_XM_001628634.3	Homeodomains.HG2.28:PAX3/PAX7	PAX3/PAX7
Nvec_v1g119149	Homeodomains.HG2.28:PAX3/PAX7	PAX3/PAX7
Nvec_v1g119152	Homeodomains.HG2.28:PAX3/PAX7	PAX3/PAX7
Nvec_v1g212609	Homeodomains.HG2.28:PAX3/PAX7	PAX3/PAX7
Nvec_v1g3149	Homeodomains.HG2.28:PAX3/PAX7	PAX3/PAX7
Nvec_vc1.1_XM_001628635.3	Homeodomains.HG2.28:PAX3/PAX7	PAX3/PAX7
Nvec_vc1.1_XM_001637272.3	Homeodomains.HG2.29:PAX4/PAX6	PAX6
Nvec_v1g168908	Homeodomains.HG2.29:PAX4/PAX6	
Nvec_vc1.1_XM_032379347.2	Homeodomains.HG2.29:PAX4/PAX6	
Nvec_v1g92831	Homeodomains.HG2.29:PAX4/PAX6	PAX6
Nvec_vc1.1_XM_001636862.3	Homeodomains.HG2.33:like:PAX1/PAX9	
