ID_JGI_Vienna	ID_Vienna	ID_JGI	ID_DToL
Nvec_v1g104066	NVE22733	v1g104066	Nvec_vc1.1_XM_001633455.3
Nvec_v1g185483	NVE22734	v1g185483	Nvec_vc1.1_XM_001633456.3
Nvec_v1g242758	NVE22735	v1g242758	Nvec_vc1.1_XM_032382784.2
Nvec_v1g166263	NVE22736	v1g166263	Nvec_vc1.1_XM_032382763.2
Nvec_v1g166265	NVE22737	v1g166265	Nvec_vc1.1_XM_001633457.3
Nvec_NVE22738	NVE22738		Nvec_vc1.1_XM_032382761.2
Nvec_v1g206595	NVE22739	v1g206595	Nvec_vc1.1_XM_001633501.3
Nvec_v1g206596	NVE22740	v1g206596	Nvec_vc1.1_XM_001633502.3
Nvec_NVE22741	NVE22741		Nvec_vc1.1_XM_048725449.1
Nvec_v1g242762	NVE22742	v1g242762	Nvec_vc1.1_XM_001633504.3
Nvec_v1g242763	NVE22743	v1g242763	Nvec_vc1.1_XM_001633505.3
Nvec_v1g242764	NVE22744	v1g242764	Nvec_vc1.1_XM_001633459.3
Nvec_v1g206603	NVE22745	v1g206603	Nvec_vc1.1_XM_048725640.1
Nvec_NVE22746	NVE22746		Nvec_vc1.1_XM_032382754.2
Nvec_v1g185504	NVE22747	v1g185504	Nvec_vc1.1_XM_001633460.3
Nvec_NVE22748	NVE22748		Nvec_vc1.1_XM_032382743.2
Nvec_v1g185507	NVE22749	v1g185507	Nvec_vc1.1_XM_001633508.3
Nvec_v1g103967	NVE22750	v1g103967	Nvec_vc1.1_XM_032382745.2
Nvec_v1g104084	NVE22751	v1g104084	Nvec_vc1.1_XM_001633462.3
Nvec_NVE22752	NVE22752		Nvec_vc1.1_XM_032382746.2
Nvec_v1g104046	NVE22753	v1g104046	Nvec_vc1.1_XM_001633509.3
Nvec_v1g242771	NVE22754	v1g242771	Nvec_vc1.1_XM_048724805.1
Nvec_v1g242772	NVE22755	v1g242772	Nvec_vc1.1_XM_001633510.3
Nvec_v1g104131	NVE22756	v1g104131	Nvec_vc1.1_XM_032382719.2
Nvec_v1g242774	NVE22757	v1g242774	Nvec_vc1.1_XM_048724830.1
Nvec_v1g242774	NVE22758	v1g242774	Nvec_vc1.1_XM_048724830.1
Nvec_v1g185519	NVE22759	v1g185519	Nvec_vc1.1_XM_032382740.1
Nvec_v1g242776	NVE22760	v1g242776	Nvec_vc1.1_XM_001633465.3
Nvec_v1g166299	NVE22761	v1g166299	Nvec_vc1.1_XM_032382741.2
Nvec_v1g104137	NVE22762	v1g104137	Nvec_vc1.1_XM_032382739.2
Nvec_v1g206622	NVE22763	v1g206622	Nvec_vc1.1_XM_032382708.2
Nvec_v1g185528	NVE22764	v1g185528	Nvec_vc1.1_XM_032382699.2
Nvec_v1g206625	NVE22765	v1g206625	Nvec_vc1.1_XM_001633469.3
Nvec_NVE22766	NVE22766		Nvec_NVE22766
Nvec_v1g232676	NVE22767	v1g232676	Nvec_vc1.1_XM_001633470.3
Nvec_v1g104010	NVE22768	v1g104010	Nvec_vc1.1_XM_032382705.2
Nvec_NVE22769	NVE22769		Nvec_vc1.1_XM_032382710.2
Nvec_v1g229362	NVE22770	v1g229362	Nvec_vc1.1_XM_032382711.2
Nvec_v1g229362	NVE22771	v1g229362	Nvec_vc1.1_XM_032382711.2
Nvec_NVE22772	NVE22772		Nvec_vc1.1_XM_048725174.1
Nvec_v1g206631	NVE22773	v1g206631	Nvec_vc1.1_XM_048729902.1
Nvec_v1g206632	NVE22774	v1g206632	Nvec_vc1.1_XM_048729871.1
Nvec_v1g47076	NVE20396	v1g47076	Nvec_vc1.1_XM_001629062.3
Nvec_v1g195312	NVE20408	v1g195312	Nvec_vc1.1_XM_001622372.3
Nvec_NVE20409	NVE20409		Nvec_vc1.1_XM_032369430.2
Nvec_NVE20410	NVE20410		Nvec_vc1.1_XM_001622372.3
Nvec_v1g220734	NVE20411	v1g220734	Nvec_vc1.1_XM_032369430.2
Nvec_v1g195315	NVE20412	v1g195315	Nvec_vc1.1_XM_001622373.3
Nvec_v1g176124	NVE20413	v1g176124	Nvec_vc1.1_XM_032369434.2
Nvec_v1g248453	NVE20414	v1g248453	Nvec_vc1.1_XM_048723859.1
Nvec_v1g220739	NVE20415	v1g220739	Nvec_vc1.1_XM_001622375.3
Nvec_NVE20416	NVE20416		Nvec_NVE20416
Nvec_v1g176125	NVE20417	v1g176125	Nvec_vc1.1_XM_001622375.3
Nvec_v1g220742	NVE20418	v1g220742	Nvec_vc1.1_XM_001622371.3
Nvec_v1g236177	NVE20419	v1g236177	Nvec_vc1.1_XM_032369437.2
Nvec_NVE20420	NVE20420		Nvec_NVE20420
Nvec_NVE20421	NVE20421		Nvec_NVE20421
Nvec_NVE20360	NVE20360		Nvec_vc1.1_XM_048732394.1
Nvec_v1g12872	NVE20361	v1g12872	Nvec_vc1.1_XM_048732131.1
Nvec_v1g220690	NVE20362	v1g220690	Nvec_vc1.1_XM_048732130.1
Nvec_v1g141149	NVE20363	v1g141149	Nvec_vc1.1_XM_048732130.1
Nvec_NVE20366	NVE20366		Nvec_vc1.1_XM_032386992.2
Nvec_NVE20367	NVE20367		Nvec_vc1.1_XM_032386992.2
Nvec_v1g14752	NVE20368	v1g14752	Nvec_vc1.1_XM_001636949.3
Nvec_NVE20369	NVE20369		Nvec_vc1.1_XM_001637019.3
Nvec_v1g176085	NVE20370	v1g176085	Nvec_vc1.1_XM_048724809.1
Nvec_NVE20374	NVE20374		Nvec_NVE20374
Nvec_v1g220701	NVE20375	v1g220701	Nvec_vc1.1_XM_032369459.2
Nvec_v1g141177	NVE20376	v1g141177	Nvec_vc1.1_XM_032373726.2
Nvec_v1g233788	NVE20377	v1g233788	Nvec_vc1.1_XM_032373722.2
Nvec_NVE20382	NVE20382		Nvec_vc1.1_XM_048734379.1
Nvec_NVE20383	NVE20383		Nvec_NVE20383
Nvec_v1g220711	NVE20385	v1g220711	Nvec_vc1.1_XM_048731521.1
Nvec_NVE20388	NVE20388		Nvec_vc1.1_XM_048722852.1
Nvec_v1g176089	NVE20389	v1g176089	Nvec_vc1.1_XM_001622384.3
Nvec_NVE20390	NVE20390		Nvec_vc1.1_XM_048722561.1
Nvec_v1g195293	NVE20391	v1g195293	Nvec_vc1.1_XM_001622386.3
Nvec_v1g141205	NVE20392	v1g141205	Nvec_vc1.1_XM_048722429.1
Nvec_NVE20393	NVE20393		Nvec_vc1.1_XM_048722429.1
Nvec_v1g176098	NVE20398	v1g176098	Nvec_vc1.1_XM_001622377.3
Nvec_v1g12119	NVE20399	v1g12119	Nvec_vc1.1_XM_001622381.3
Nvec_NVE20400	NVE20400		Nvec_NVE20400
Nvec_v1g233790	NVE20401	v1g233790	Nvec_vc1.1_XM_032369445.2
Nvec_v1g248445	NVE20402	v1g248445	Nvec_vc1.1_XM_001622379.3
Nvec_v1g176107	NVE20403	v1g176107	Nvec_vc1.1_XM_032369438.2
Nvec_v1g248447	NVE20404	v1g248447	Nvec_vc1.1_XM_048728285.1
Nvec_NVE18465	NVE18465		Nvec_NVE18465
Nvec_NVE22213	NVE22213		Nvec_vc1.1_XM_032382733.2
Nvec_v1g222110	NVE3765	v1g222110	Nvec_vc1.1_XM_048732003.1
Nvec_NVE3766	NVE3766		Nvec_vc1.1_XM_048732007.1
Nvec_NVE3767	NVE3767		Nvec_vc1.1_XM_048732007.1
Nvec_NVE22634	NVE22634		Nvec_NVE22634
Nvec_v1g248578	NVE22635	v1g248578	Nvec_vc1.1_XM_032369021.2
Nvec_NVE22636	NVE22636		Nvec_NVE22636
Nvec_v1g221235	NVE22637	v1g221235	Nvec_vc1.1_XM_032381491.2
Nvec_v1g221237	NVE22639	v1g221237	Nvec_vc1.1_XM_032386040.2
Nvec_NVE22640	NVE22640		Nvec_vc1.1_XM_048720114.1
Nvec_NVE3761	NVE3761		Nvec_NVE3761
Nvec_v1g221241	NVE22650	v1g221241	Nvec_vc1.1_XM_048733225.1
Nvec_v1g142804	NVE22651	v1g142804	Nvec_vc1.1_XM_001621991.3
Nvec_v1g248582	NVE22652	v1g248582	Nvec_vc1.1_XM_048733227.1
Nvec_v1g142809	NVE22653	v1g142809	Nvec_vc1.1_XM_048733340.1
Nvec_v1g3943	NVE22654	v1g3943	Nvec_vc1.1_XM_048733341.1
Nvec_v1g8784	NVE22654	v1g8784	Nvec_vc1.1_XM_048733341.1
Nvec_v1g142815	NVE22658	v1g142815	Nvec_vc1.1_XM_048721900.1
Nvec_v1g221252	NVE22659	v1g221252	Nvec_vc1.1_XM_032369002.2
Nvec_v1g248586	NVE22660	v1g248586	Nvec_vc1.1_XM_032369000.2
Nvec_v1g221254	NVE22661	v1g221254	Nvec_vc1.1_XM_001621986.3
Nvec_NVE22662	NVE22662		Nvec_vc1.1_XM_048722035.1
Nvec_NVE3756	NVE3756		Nvec_vc1.1_XM_048727979.1
Nvec_NVE3757	NVE3757		Nvec_NVE3757
Nvec_v1g248694	NVE3758	v1g248694	Nvec_vc1.1_XM_048731582.1
Nvec_v1g221258	NVE22671	v1g221258	Nvec_vc1.1_XM_048730217.1
Nvec_v1g176351	NVE22672	v1g176351	Nvec_vc1.1_XM_048730217.1
Nvec_v1g248588	NVE22673	v1g248588	Nvec_vc1.1_XM_048730218.1
Nvec_v1g142824	NVE22674	v1g142824	Nvec_vc1.1_XM_048730463.1
Nvec_NVE22675	NVE22675		Nvec_vc1.1_XM_048730463.1
Nvec_v1g176357	NVE22676	v1g176357	Nvec_vc1.1_XM_048729723.1
Nvec_v1g142840	NVE22679	v1g142840	Nvec_v1g142840
Nvec_v1g221270	NVE22680	v1g221270	Nvec_vc1.1_XM_048734059.1
Nvec_NVE22681	NVE22681		Nvec_vc1.1_XM_001638734.3
Nvec_NVE3769	NVE3769		Nvec_vc1.1_XM_048731055.1
Nvec_NVE3770	NVE3770		Nvec_vc1.1_XM_048731753.1
Nvec_v1g145377	NVE3996	v1g145377	Nvec_vc1.1_XM_048720025.1
Nvec_NVE3997	NVE3997		Nvec_vc1.1_XM_001625798.3
Nvec_NVE3998	NVE3998		Nvec_vc1.1_XM_048722838.1
Nvec_NVE1756	NVE1756		Nvec_vc1.1_XM_048722074.1
Nvec_NVE3994	NVE3994		Nvec_NVE3994
Nvec_NVE1757	NVE1757		Nvec_NVE1757
Nvec_v1g3122	NVE1759	v1g3122	Nvec_vc1.1_XM_001627377.3
Nvec_v1g145353	NVE3989	v1g145353	Nvec_vc1.1_XM_048734109.1
Nvec_v1g145359	NVE3990	v1g145359	Nvec_vc1.1_XM_032362019.2
Nvec_NVE3991	NVE3991		Nvec_vc1.1_XM_001637491.3
Nvec_NVE3986	NVE3986		Nvec_vc1.1_XM_032379876.2
Nvec_v1g248697	NVE3987	v1g248697	Nvec_vc1.1_XM_001631116.3
Nvec_v1g231426	NVE3988	v1g231426	Nvec_vc1.1_XM_048729754.1
Nvec_v1g222121	NVE3980	v1g222121	Nvec_vc1.1_XM_001625718.3
Nvec_v1g222122	NVE3981	v1g222122	Nvec_vc1.1_XM_032373261.2
Nvec_NVE3982	NVE3982		Nvec_vc1.1_XM_032373261.2
Nvec_NVE3977	NVE3977		Nvec_vc1.1_XM_048734383.1
Nvec_v1g145340	NVE3978	v1g145340	Nvec_vc1.1_XM_048733995.1
Nvec_v1g145330	NVE3979	v1g145330	Nvec_vc1.1_XM_048733996.1
Nvec_v1g221956	NVE1761	v1g221956	Nvec_vc1.1_XM_048727881.1
Nvec_v1g224335	NVE17745	v1g224335	Nvec_vc1.1_XM_048730388.1
Nvec_v1g222136	NVE4000	v1g222136	Nvec_vc1.1_XM_032363781.2
Nvec_v1g145387	NVE4001	v1g145387	Nvec_vc1.1_XM_001638911.3
Nvec_v1g145169	NVE3432	v1g145169	Nvec_vc1.1_XM_048721923.1
Nvec_v1g145164	NVE3432	v1g145164	Nvec_vc1.1_XM_048721925.1
Nvec_v1g145166	NVE3432	v1g145166	Nvec_vc1.1_XM_048721923.1
Nvec_NVE3764	NVE3764		Nvec_vc1.1_XM_032383545.2
Nvec_NVE21336	NVE21336		Nvec_vc1.1_XM_048727192.1
Nvec_NVE21337	NVE21337		Nvec_vc1.1_XM_032376250.2
Nvec_NVE3685	NVE3685		Nvec_vc1.1_XM_001640341.3
Nvec_v1g59177	NVE14960	v1g59177	Nvec_vc1.1_XM_048725561.1
Nvec_v1g59177	NVE14960	v1g59177	Nvec_vc1.1_XM_048725563.1
Nvec_NVE23744	NVE23744		Nvec_vc1.1_XM_048722003.1
Nvec_NVE11141	NVE11141		Nvec_vc1.1_XM_048722499.1
Nvec_v1g148714	NVE11142	v1g148714	Nvec_vc1.1_XM_048727498.1
Nvec_v1g148712	NVE11142	v1g148712	Nvec_vc1.1_XM_048727498.1
Nvec_v1g248794	NVE11140	v1g248794	Nvec_vc1.1_XM_048725694.1
Nvec_NVE19677	NVE19677		Nvec_vc1.1_XM_048734302.1
Nvec_NVE19678	NVE19678		Nvec_vc1.1_XM_048734300.1
Nvec_v1g248679	NVE1826	v1g248679	Nvec_vc1.1_XM_048733916.1
Nvec_v1g148729	NVE11146	v1g148729	Nvec_vc1.1_XM_048721351.1
Nvec_v1g148716	NVE11143	v1g148716	Nvec_v1g148716
Nvec_v1g60966	NVE11143	v1g60966	Nvec_v1g60966
Nvec_v1g148718	NVE11144	v1g148718	Nvec_v1g148718
Nvec_v1g148728	NVE11145	v1g148728	Nvec_vc1.1_XM_032363577.2
Nvec_v1g224582	NVE19328	v1g224582	Nvec_vc1.1_XM_048730145.1
Nvec_NVE4800	NVE4800		Nvec_vc1.1_XM_001632945.3
Nvec_v1g219154	NVE16023	v1g219154	Nvec_v1g219154
Nvec_NVE16024	NVE16024		Nvec_NVE16024
Nvec_NVE16025	NVE16025		Nvec_NVE16025
Nvec_v1g194611	NVE16026	v1g194611	Nvec_vc1.1_XM_048727260.1
Nvec_v1g194611	NVE16027	v1g194611	Nvec_vc1.1_XM_048727260.1
Nvec_v1g41962	NVE16028	v1g41962	Nvec_vc1.1_XM_001623557.3
Nvec_v1g175414	NVE16029	v1g175414	Nvec_vc1.1_XM_032370679.2
Nvec_NVE16030	NVE16030		Nvec_vc1.1_XM_048730305.1
Nvec_v1g219163	NVE16031	v1g219163	Nvec_vc1.1_XM_032370690.2
Nvec_NVE16032	NVE16032		Nvec_vc1.1_XM_001625365.3
Nvec_NVE16037	NVE16037		Nvec_vc1.1_XM_048719748.1
Nvec_NVE16038	NVE16038		Nvec_vc1.1_XM_048719748.1
Nvec_v1g219165	NVE16039	v1g219165	Nvec_vc1.1_XM_048720256.1
Nvec_v1g219165	NVE16040	v1g219165	Nvec_vc1.1_XM_048720256.1
Nvec_v1g248001	NVE16041	v1g248001	Nvec_vc1.1_XM_032370671.2
Nvec_NVE16042	NVE16042		Nvec_vc1.1_XM_048720000.1
Nvec_NVE16043	NVE16043		Nvec_vc1.1_XM_048720000.1
Nvec_NVE16044	NVE16044		Nvec_NVE16044
Nvec_v1g137052	NVE16045	v1g137052	Nvec_vc1.1_XM_048720000.1
Nvec_v1g5341	NVE16046	v1g5341	Nvec_vc1.1_XM_048720000.1
Nvec_v1g137041	NVE16046	v1g137041	Nvec_vc1.1_XM_048720000.1
Nvec_NVE16047	NVE16047		Nvec_vc1.1_XM_048719367.1
Nvec_NVE16048	NVE16048		Nvec_vc1.1_XM_048719367.1
Nvec_v1g219175	NVE16049	v1g219175	Nvec_vc1.1_XM_001637502.3
Nvec_NVE16050	NVE16050		Nvec_vc1.1_XM_048733270.1
Nvec_v1g219177	NVE16051	v1g219177	Nvec_vc1.1_XM_032377230.2
Nvec_v1g219178	NVE16052	v1g219178	Nvec_v1g219178
Nvec_NVE22815	NVE22815		Nvec_vc1.1_XM_048722598.1
Nvec_v1g225726	NVE1573	v1g225726	Nvec_vc1.1_XM_001624803.3
Nvec_v1g225726	NVE1573	v1g225726	Nvec_vc1.1_XM_048731007.1
Nvec_NVE15983	NVE15983		Nvec_vc1.1_XM_048734191.1
Nvec_NVE15984	NVE15984		Nvec_vc1.1_XM_048734191.1
Nvec_v1g247979	NVE15985	v1g247979	Nvec_vc1.1_XM_048734050.1
Nvec_v1g41021	NVE15985	v1g41021	Nvec_vc1.1_XM_048734050.1
Nvec_v1g247980	NVE15986	v1g247980	Nvec_vc1.1_XM_001623587.3
Nvec_NVE15987	NVE15987		Nvec_NVE15987
Nvec_v1g136901	NVE15988	v1g136901	Nvec_vc1.1_XM_048734662.1
Nvec_NVE15989	NVE15989		Nvec_NVE15989
Nvec_v1g136893	NVE15990	v1g136893	Nvec_vc1.1_XM_048734052.1
Nvec_v1g136983	NVE15994	v1g136983	Nvec_vc1.1_XM_048732643.1
Nvec_NVE15995	NVE15995		Nvec_vc1.1_XM_048730749.1
Nvec_v1g136992	NVE15996	v1g136992	Nvec_vc1.1_XM_048730157.1
Nvec_v1g136992	NVE15997	v1g136992	Nvec_vc1.1_XM_048730157.1
Nvec_v1g194596	NVE15998	v1g194596	Nvec_vc1.1_XM_032370707.2
Nvec_v1g12051	NVE15999	v1g12051	Nvec_vc1.1_XM_048730101.1
Nvec_v1g136943	NVE16000	v1g136943	Nvec_vc1.1_XM_001623577.3
Nvec_v1g175400	NVE16001	v1g175400	Nvec_vc1.1_XM_001623578.3
Nvec_v1g136956	NVE16002	v1g136956	Nvec_vc1.1_XM_048730775.1
Nvec_v1g247992	NVE16002	v1g247992	Nvec_vc1.1_XM_048730775.1
Nvec_NVE16003	NVE16003		Nvec_NVE16003
Nvec_NVE16004	NVE16004		Nvec_NVE16004
Nvec_NVE16010	NVE16010		Nvec_vc1.1_XM_048732382.1
Nvec_v1g247993	NVE16011	v1g247993	Nvec_vc1.1_XM_032370692.2
Nvec_v1g247993	NVE16012	v1g247993	Nvec_vc1.1_XM_032370692.2
Nvec_v1g194606	NVE16013	v1g194606	Nvec_vc1.1_XM_001623562.3
Nvec_NVE16014	NVE16014		Nvec_NVE16014
Nvec_v1g247995	NVE16015	v1g247995	Nvec_vc1.1_XM_032370694.2
Nvec_v1g247996	NVE16016	v1g247996	Nvec_v1g247996
Nvec_v1g247997	NVE16017	v1g247997	Nvec_vc1.1_XM_048732728.1
Nvec_v1g247997	NVE16017	v1g247997	Nvec_vc1.1_XM_048732908.1
Nvec_v1g219145	NVE16018	v1g219145	Nvec_v1g219145
Nvec_v1g227578	NVE15890	v1g227578	Nvec_vc1.1_XM_001623655.3
Nvec_v1g136688	NVE15891	v1g136688	Nvec_vc1.1_XM_032370798.2
Nvec_v1g175313	NVE15892	v1g175313	Nvec_vc1.1_XM_001623656.3
Nvec_NVE15893	NVE15893		Nvec_vc1.1_XM_032370800.2
Nvec_NVE15894	NVE15894		Nvec_vc1.1_XM_032370799.2
Nvec_v1g247942	NVE15895	v1g247942	Nvec_vc1.1_XM_048722029.1
Nvec_v1g247943	NVE15896	v1g247943	Nvec_vc1.1_XM_032370802.2
Nvec_v1g219007	NVE15897	v1g219007	Nvec_vc1.1_XM_048721961.1
Nvec_NVE15898	NVE15898		Nvec_vc1.1_XM_048721859.1
Nvec_NVE15899	NVE15899		Nvec_NVE15899
Nvec_v1g219011	NVE15900	v1g219011	Nvec_v1g219011
Nvec_NVE13262	NVE13262		Nvec_vc1.1_XM_032367586.2
Nvec_NVE15919	NVE15919		Nvec_vc1.1_XM_048730669.1
Nvec_NVE15920	NVE15920		Nvec_vc1.1_XM_048729795.1
Nvec_v1g219037	NVE15921	v1g219037	Nvec_vc1.1_XM_032370778.2
Nvec_v1g14817	NVE15922	v1g14817	Nvec_vc1.1_XM_032370780.2
Nvec_v1g219039	NVE15923	v1g219039	Nvec_vc1.1_XM_032370771.2
Nvec_NVE15924	NVE15924		Nvec_vc1.1_XM_032370774.2
Nvec_NVE15925	NVE15925		Nvec_vc1.1_XM_032370764.2
Nvec_v1g136743	NVE15926	v1g136743	Nvec_vc1.1_XM_001623646.3
Nvec_v1g247948	NVE15927	v1g247948	Nvec_vc1.1_XM_048730753.1
Nvec_v1g247949	NVE15928	v1g247949	Nvec_vc1.1_XM_048730752.1
Nvec_v1g247950	NVE15928	v1g247950	Nvec_vc1.1_XM_048730752.1
Nvec_v1g247951	NVE15929	v1g247951	Nvec_vc1.1_XM_001623648.3
Nvec_v1g71335	NVE15930	v1g71335	Nvec_vc1.1_XM_032370760.2
Nvec_v1g219048	NVE15931	v1g219048	Nvec_v1g219048
Nvec_v1g219049	NVE15932	v1g219049	Nvec_vc1.1_XM_001623641.3
Nvec_v1g247953	NVE15933	v1g247953	Nvec_vc1.1_XM_048730673.1
Nvec_v1g247953	NVE15934	v1g247953	Nvec_vc1.1_XM_048730673.1
Nvec_v1g136737	NVE15935	v1g136737	Nvec_vc1.1_XM_001623649.3
Nvec_v1g225946	NVE4799	v1g225946	Nvec_vc1.1_XM_048730294.1
Nvec_NVE6346	NVE6346		Nvec_vc1.1_XM_048728409.1
Nvec_v1g17091	NVE6347	v1g17091	Nvec_vc1.1_XM_048728409.1
Nvec_NVE6348	NVE6348		Nvec_vc1.1_XM_032372165.2
Nvec_v1g248736	NVE6344	v1g248736	Nvec_vc1.1_XM_048721597.1
Nvec_NVE6358	NVE6358		Nvec_vc1.1_XM_048727013.1
Nvec_v1g222548	NVE6355	v1g222548	Nvec_vc1.1_XM_048727273.1
Nvec_v1g222546	NVE6352	v1g222546	Nvec_vc1.1_XM_032375473.2
Nvec_NVE6353	NVE6353		Nvec_vc1.1_XM_001627627.3
Nvec_NVE6349	NVE6349		Nvec_vc1.1_XM_001640181.3
Nvec_NVE6350	NVE6350		Nvec_vc1.1_XM_048731350.1
Nvec_NVE6359	NVE6359		Nvec_vc1.1_XM_048721747.1
Nvec_NVE6360	NVE6360		Nvec_vc1.1_XM_048721746.1
Nvec_NVE15062	NVE15062		Nvec_vc1.1_XM_048730679.1
Nvec_v1g248767	NVE7891	v1g248767	Nvec_vc1.1_XM_048733188.1
Nvec_v1g5576	NVE7890	v1g5576	Nvec_vc1.1_XM_048731700.1
Nvec_NVE1430	NVE1430		Nvec_vc1.1_XM_032363544.2
Nvec_NVE13257	NVE13257		Nvec_NVE13257
Nvec_NVE1432	NVE1432		Nvec_vc1.1_XM_048725509.1
Nvec_v1g222811	NVE7881	v1g222811	Nvec_vc1.1_XM_048724470.1
Nvec_v1g248766	NVE7882	v1g248766	Nvec_vc1.1_XM_048724470.1
Nvec_NVE7883	NVE7883		Nvec_vc1.1_XM_032380568.2
Nvec_NVE7888	NVE7888		Nvec_vc1.1_XM_048730930.1
Nvec_NVE7889	NVE7889		Nvec_vc1.1_XM_048730930.1
Nvec_v1g222817	NVE7887	v1g222817	Nvec_vc1.1_XM_048729276.1
Nvec_v1g224010	NVE15582	v1g224010	Nvec_vc1.1_XM_032374283.2
Nvec_v1g224010	NVE15583	v1g224010	Nvec_vc1.1_XM_032374283.2
Nvec_NVE10936	NVE10936		Nvec_vc1.1_XM_048729041.1
Nvec_NVE15577	NVE15577		Nvec_vc1.1_XM_001630792.3
Nvec_v1g47929	NVE15578	v1g47929	Nvec_vc1.1_XM_048727733.1
Nvec_NVE15579	NVE15579		Nvec_vc1.1_XM_032385441.2
Nvec_v1g224007	NVE15580	v1g224007	Nvec_vc1.1_XM_032376142.2
Nvec_v1g224008	NVE15581	v1g224008	Nvec_vc1.1_XM_032381283.2
Nvec_v1g225285	NVE23904	v1g225285	Nvec_vc1.1_XM_001619682.3
Nvec_v1g139857	NVE18777	v1g139857	Nvec_vc1.1_XM_048731595.1
Nvec_v1g220243	NVE18777	v1g220243	Nvec_v1g220243
Nvec_NVE18779	NVE18779		Nvec_NVE18779
Nvec_NVE18780	NVE18780		Nvec_vc1.1_XM_032386861.2
Nvec_NVE18781	NVE18781		Nvec_vc1.1_XM_048727469.1
Nvec_NVE18782	NVE18782		Nvec_vc1.1_XM_032369782.2
Nvec_NVE18783	NVE18783		Nvec_NVE18783
Nvec_NVE18784	NVE18784		Nvec_vc1.1_XM_032384312.2
Nvec_v1g224778	NVE20736	v1g224778	Nvec_vc1.1_XM_048724223.1
Nvec_NVE5252	NVE5252		Nvec_vc1.1_XM_048722447.1
Nvec_NVE5253	NVE5253		Nvec_vc1.1_XM_048722530.1
Nvec_v1g146084	NVE5254	v1g146084	Nvec_vc1.1_XM_001624244.3
Nvec_v1g117040	NVE4154	v1g117040	Nvec_vc1.1_XM_048731517.1
Nvec_NVE4155	NVE4155		Nvec_vc1.1_XM_048731519.1
Nvec_NVE4156	NVE4156		Nvec_NVE4156
Nvec_v1g245041	NVE4157	v1g245041	Nvec_vc1.1_XM_001629336.3
Nvec_v1g170236	NVE4158	v1g170236	Nvec_vc1.1_XM_001629320.3
Nvec_NVE4159	NVE4159		Nvec_NVE4159
Nvec_v1g211734	NVE4160	v1g211734	Nvec_v1g211734
Nvec_v1g211734	NVE4161	v1g211734	Nvec_v1g211734
Nvec_NVE4162	NVE4162		Nvec_NVE4162
Nvec_NVE4163	NVE4163		Nvec_NVE4163
Nvec_v1g117044	NVE4164	v1g117044	Nvec_vc1.1_XM_001641932.3
Nvec_NVE4165	NVE4165		Nvec_vc1.1_XM_001641933.3
Nvec_NVE4166	NVE4166		Nvec_NVE4166
Nvec_NVE4167	NVE4167		Nvec_NVE4167
Nvec_NVE4168	NVE4168		Nvec_NVE4168
Nvec_v1g211740	NVE4169	v1g211740	Nvec_v1g211740
Nvec_v1g170242	NVE4170	v1g170242	Nvec_vc1.1_XM_001629339.3
Nvec_NVE4171	NVE4171		Nvec_vc1.1_XM_048731575.1
Nvec_v1g117058	NVE4172	v1g117058	Nvec_vc1.1_XM_032377639.2
Nvec_v1g245050	NVE4173	v1g245050	Nvec_vc1.1_XM_001629340.3
Nvec_v1g117051	NVE4174	v1g117051	Nvec_vc1.1_XM_001629341.3
Nvec_v1g117067	NVE4175	v1g117067	Nvec_vc1.1_XM_001629342.3
Nvec_NVE4176	NVE4176		Nvec_vc1.1_XM_048725831.1
Nvec_v1g170252	NVE4177	v1g170252	Nvec_vc1.1_XM_001629329.3
Nvec_v1g245053	NVE4178	v1g245053	Nvec_vc1.1_XM_032377642.2
Nvec_v1g117046	NVE4179	v1g117046	Nvec_vc1.1_XM_001629344.3
Nvec_v1g117076	NVE4180	v1g117076	Nvec_vc1.1_XM_032377631.2
Nvec_v1g117062	NVE4182	v1g117062	Nvec_vc1.1_XM_001629331.3
Nvec_v1g211774	NVE4184	v1g211774	Nvec_vc1.1_XM_048734232.1
Nvec_v1g211777	NVE4185	v1g211777	Nvec_vc1.1_XM_048734232.1
Nvec_v1g146077	NVE5248	v1g146077	Nvec_vc1.1_XM_048721608.1
Nvec_v1g222865	NVE8487	v1g222865	Nvec_v1g222865
Nvec_NVE5244	NVE5244		Nvec_NVE5244
Nvec_NVE5245	NVE5245		Nvec_NVE5245
Nvec_NVE5246	NVE5246		Nvec_NVE5246
Nvec_v1g244954	NVE3935	v1g244954	Nvec_vc1.1_XM_048726448.1
Nvec_NVE3936	NVE3936		Nvec_vc1.1_XM_048726448.1
Nvec_v1g116697	NVE3937	v1g116697	Nvec_vc1.1_XM_001629448.3
Nvec_NVE3938	NVE3938		Nvec_NVE3938
Nvec_v1g116664	NVE3939	v1g116664	Nvec_vc1.1_XM_048726982.1
Nvec_NVE3940	NVE3940		Nvec_NVE3940
Nvec_v1g237220	NVE3941	v1g237220	Nvec_vc1.1_XM_001629450.3
Nvec_v1g48067	NVE3942	v1g48067	Nvec_vc1.1_XM_048726983.1
Nvec_NVE3943	NVE3943		Nvec_vc1.1_XM_048726983.1
Nvec_v1g116699	NVE3944	v1g116699	Nvec_vc1.1_XM_032377810.2
Nvec_v1g211566	NVE3945	v1g211566	Nvec_vc1.1_XM_048726365.1
Nvec_v1g211567	NVE3946	v1g211567	Nvec_vc1.1_XM_048726359.1
